gene_id
EG10034
EG10063
EG10071
EG10074
EG10078
EG10081
EG10094
EG10097
EG10187
EG10205
EG10208
EG10383
EG10390
EG10407
EG10409
EG10410
EG10444
EG10445
EG10446
EG10447
EG10448
EG10449
EG10450
EG10451
EG10453
EG10492
EG10496
EG10497
EG10532
EG10581
EG10586
EG10709
EG10710
EG10769
EG10770
EG10793
EG10794
EG10796
EG10797
EG10807
EG10810
EG10871
EG10873
EG10878
EG10893
EG10894
EG10895
EG10903
EG10910
EG10912
EG10947
EG10999
EG11000
EG11001
EG11027
EG11028
EG11030
EG11039
EG11043
EG11067
EG11226
EG11575
EG11576
EG11577
G6879
