tu,coef_full,coef_seedA_train,coef_seedB_train,abs_full,abs_seedA_train,abs_seedB_train,coef_mean,coef_std,stability_score,abs_mean
tu_available__TU0-13135[c],0.8633882919646831,0.9234464465390406,0.8033301373903203,0.8633882919646831,0.9234464465390406,0.8033301373903203,0.8633882919646814,0.060058154574360145,0.8633882919646814,0.8633882919646814
tu_available__TU0-14004[c],0.8633882919646816,0.9234464465390402,0.8033301373903207,0.8633882919646816,0.9234464465390402,0.8033301373903207,0.8633882919646808,0.06005815457435976,0.8633882919646808,0.8633882919646808
tu_available__EG10901_RNA[c],0.8633882919646799,0.9234464465390415,0.80333013739032,0.8633882919646799,0.9234464465390415,0.80333013739032,0.8633882919646805,0.060058154574360756,0.8633882919646805,0.8633882919646805
tu_available__TU0-14399[c],0.8633882919646805,0.9234464465390404,0.8033301373903203,0.8633882919646805,0.9234464465390404,0.8033301373903203,0.8633882919646805,0.060058154574360034,0.8633882919646805,0.8633882919646805
tu_available__TU0-7842[c],0.8633882919646807,0.92344644653904,0.8033301373903203,0.8633882919646807,0.92344644653904,0.8033301373903203,0.8633882919646804,0.06005815457435981,0.8633882919646804,0.8633882919646804
tu_available__TU0-13593[c],0.8633882919646825,0.9234464465390393,0.8033301373903191,0.8633882919646825,0.9234464465390393,0.8033301373903191,0.8633882919646804,0.06005815457436009,0.8633882919646804,0.8633882919646804
tu_available__TU0-13444[c],0.8633882919646816,0.9234464465390393,0.8033301373903199,0.8633882919646816,0.9234464465390393,0.8033301373903199,0.8633882919646801,0.0600581545743597,0.8633882919646801,0.8633882919646801
tu_available__TU0-14654[c],0.8633882919646806,0.9234464465390398,0.80333013739032,0.8633882919646806,0.9234464465390398,0.80333013739032,0.8633882919646801,0.06005815457435992,0.8633882919646801,0.8633882919646801
tu_available__TU0-13080[c],0.8633882919646806,0.9234464465390404,0.8033301373903197,0.8633882919646806,0.9234464465390404,0.8033301373903197,0.8633882919646801,0.06005815457436037,0.8633882919646801,0.8633882919646801
tu_available__TU00060[c],0.8633882919646798,0.9234464465390402,0.80333013739032,0.8633882919646798,0.9234464465390402,0.80333013739032,0.86338829196468,0.06005815457436009,0.86338829196468,0.86338829196468
tu_available__TU0-14634[c],0.86338829196468,0.9234464465390402,0.8033301373903199,0.86338829196468,0.9234464465390402,0.8033301373903199,0.86338829196468,0.060058154574360145,0.86338829196468,0.86338829196468
tu_available__TU0-42202[c],0.8633882919646799,0.92344644653904,0.8033301373903203,0.8633882919646799,0.92344644653904,0.8033301373903203,0.86338829196468,0.06005815457435981,0.86338829196468,0.86338829196468
tu_available__TU00055[c],0.8633882919646793,0.9234464465390404,0.80333013739032,0.8633882919646793,0.9234464465390404,0.80333013739032,0.8633882919646799,0.0600581545743602,0.8633882919646799,0.8633882919646799
tu_available__TU0-13519[c],0.8633882919646785,0.9234464465390406,0.8033301373903206,0.8633882919646785,0.9234464465390406,0.8033301373903206,0.8633882919646799,0.060058154574360034,0.8633882919646799,0.8633882919646799
tu_available__TU0-6441[c],0.8633882919646796,0.9234464465390397,0.8033301373903202,0.8633882919646796,0.9234464465390397,0.8033301373903202,0.8633882919646799,0.06005815457435976,0.8633882919646799,0.8633882919646799
tu_available__TU0-1021[c],0.863388291964682,0.9234464465390387,0.8033301373903192,0.863388291964682,0.9234464465390387,0.8033301373903192,0.8633882919646799,0.06005815457435976,0.8633882919646799,0.8633882919646799
tu_available__TU0-5061[c],0.8633882919646804,0.92344644653904,0.8033301373903197,0.8633882919646804,0.92344644653904,0.8033301373903197,0.8633882919646799,0.060058154574360145,0.8633882919646799,0.8633882919646799
tu_available__TU0-13935[c],0.8633882919646797,0.9234464465390402,0.8033301373903197,0.8633882919646797,0.9234464465390402,0.8033301373903197,0.8633882919646799,0.060058154574360256,0.8633882919646799,0.8633882919646799
tu_available__TU0-13557[c],0.8633882919646796,0.9234464465390395,0.8033301373903203,0.8633882919646796,0.9234464465390395,0.8033301373903203,0.8633882919646799,0.06005815457435959,0.8633882919646799,0.8633882919646799
tu_available__TU0-14255[c],0.8633882919646795,0.9234464465390397,0.8033301373903199,0.8633882919646795,0.9234464465390397,0.8033301373903199,0.8633882919646797,0.06005815457435992,0.8633882919646797,0.8633882919646797
tu_available__TU00178[c],0.8633882919646807,0.9234464465390388,0.8033301373903198,0.8633882919646807,0.9234464465390388,0.8033301373903198,0.8633882919646797,0.060058154574359535,0.8633882919646797,0.8633882919646797
tu_available__TU0-14467[c],0.86338829196468,0.9234464465390393,0.80333013739032,0.86338829196468,0.9234464465390393,0.80333013739032,0.8633882919646797,0.060058154574359646,0.8633882919646797,0.8633882919646797
tu_available__TU0-6481[c],0.86338829196468,0.9234464465390391,0.8033301373903201,0.86338829196468,0.9234464465390391,0.8033301373903201,0.8633882919646797,0.06005815457435948,0.8633882919646797,0.8633882919646797
tu_available__TU00058[c],0.8633882919646798,0.9234464465390395,0.8033301373903199,0.8633882919646798,0.9234464465390395,0.8033301373903199,0.8633882919646797,0.06005815457435981,0.8633882919646797,0.8633882919646797
tu_available__TU00061[c],0.8633882919646798,0.9234464465390395,0.8033301373903199,0.8633882919646798,0.9234464465390395,0.8033301373903199,0.8633882919646797,0.06005815457435981,0.8633882919646797,0.8633882919646797
tu_available__TU0-14257[c],0.8633882919646798,0.9234464465390395,0.8033301373903193,0.8633882919646798,0.9234464465390395,0.8033301373903193,0.8633882919646796,0.06005815457436009,0.8633882919646796,0.8633882919646796
tu_available__TU0-8477[c],0.8633882919646794,0.9234464465390393,0.8033301373903199,0.8633882919646794,0.9234464465390393,0.8033301373903199,0.8633882919646796,0.0600581545743597,0.8633882919646796,0.8633882919646796
tu_available__TU00054[c],0.86338829196468,0.9234464465390395,0.8033301373903194,0.86338829196468,0.9234464465390395,0.8033301373903194,0.8633882919646796,0.060058154574360034,0.8633882919646796,0.8633882919646796
tu_available__TU00357[c],0.8633882919646789,0.9234464465390397,0.8033301373903203,0.8633882919646789,0.9234464465390397,0.8033301373903203,0.8633882919646796,0.0600581545743597,0.8633882919646796,0.8633882919646796
tu_available__TU00192[c],0.8633882919646796,0.9234464465390394,0.8033301373903199,0.8633882919646796,0.9234464465390394,0.8033301373903199,0.8633882919646796,0.06005815457435976,0.8633882919646796,0.8633882919646796
tu_available__TU0-7341[c],0.8633882919646796,0.9234464465390395,0.8033301373903198,0.8633882919646796,0.9234464465390395,0.8033301373903198,0.8633882919646796,0.06005815457435987,0.8633882919646796,0.8633882919646796
tu_available__TU0-6653[c],0.8633882919646805,0.9234464465390391,0.8033301373903191,0.8633882919646805,0.9234464465390391,0.8033301373903191,0.8633882919646796,0.06005815457435998,0.8633882919646796,0.8633882919646796
tu_available__TU0-6409[c],0.8633882919646798,0.9234464465390392,0.8033301373903197,0.8633882919646798,0.9234464465390392,0.8033301373903197,0.8633882919646796,0.06005815457435976,0.8633882919646796,0.8633882919646796
tu_available__TU0-6660[c],0.8633882919646807,0.9234464465390391,0.8033301373903189,0.8633882919646807,0.9234464465390391,0.8033301373903189,0.8633882919646796,0.06005815457436009,0.8633882919646796,0.8633882919646796
