tu,ridge_full,ridge_A_train,ridge_B_train,enet_full,enet_A_train,enet_B_train,abs_ridge_full,abs_ridge_A_train,abs_ridge_B_train,abs_enet_full,abs_enet_A_train,abs_enet_B_train,ridge_mean,ridge_std,enet_mean,enet_std,ridge_score,enet_score
tu_available__EG10901_RNA[c],0.6933730509951765,0.6424292226756665,0.6536663812733615,0.7700460711376611,0.0,0.0,0.6933730509951765,0.6424292226756665,0.6536663812733615,0.7700460711376611,0.0,0.0,0.6631562183147349,0.026764924178218675,0.2566820237125537,0.44458630645974234,0.6631562183147349,0.2566820237125537
tu_available__TU0-13557[c],0.6933730509951767,0.6424292226756647,0.6536663812733599,0.7700497968354781,0.0,0.0,0.6933730509951767,0.6424292226756647,0.6536663812733599,0.7700497968354781,0.0,0.0,0.6631562183147337,0.02676492417821972,0.25668326561182603,0.44458845749237996,0.6631562183147337,0.25668326561182603
tu_available__EG10383_RNA[c],0.6933730509951714,0.642429222675666,0.6536663812733614,0.7700459442220764,0.0,0.0,0.6933730509951714,0.642429222675666,0.6536663812733614,0.7700459442220764,0.0,0.0,0.6631562183147329,0.026764924178215983,0.2566819814073588,0.4445862331849953,0.6631562183147329,0.2566819814073588
tu_available__TU0-1021[c],0.6933730509951714,0.6424292226756663,0.6536663812733613,0.7700466992154058,0.0,0.0,0.6933730509951714,0.6424292226756663,0.6536663812733613,0.7700466992154058,0.0,0.0,0.6631562183147329,0.02676492417821592,0.25668223307180194,0.4445866690805973,0.6631562183147329,0.25668223307180194
tu_available__TU0-14255[c],0.6933730509951767,0.6424292226756636,0.6536663812733582,0.7700526275364202,0.0,0.0,0.6933730509951767,0.6424292226756636,0.6536663812733582,0.7700526275364202,0.0,0.0,0.6631562183147328,0.026764924178220444,0.25668420917880674,0.4445900917983308,0.6631562183147328,0.25668420917880674
tu_available__TU0-13519[c],0.6933730509951728,0.6424292226756645,0.6536663812733601,0.7700494533627601,0.0,0.0,0.6933730509951728,0.6424292226756645,0.6536663812733601,0.7700494533627601,0.0,0.0,0.6631562183147325,0.026764924178217575,0.25668315112092005,0.4445882591883137,0.6631562183147325,0.25668315112092005
tu_available__TU0-13080[c],0.693373050995172,0.6424292226756654,0.6536663812733603,0.7700478029177021,0.0,0.0,0.693373050995172,0.6424292226756654,0.6536663812733603,0.7700478029177021,0.0,0.0,0.6631562183147325,0.026764924178216753,0.2566826009725674,0.4445873063034152,0.6631562183147325,0.2566826009725674
tu_available__TU0-13093[c],0.6933730509951722,0.642429222675665,0.6536663812733603,0.7700480435833532,0.0,0.0,0.6933730509951722,0.642429222675665,0.6536663812733603,0.7700480435833532,0.0,0.0,0.6631562183147325,0.02676492417821701,0.2566826811944511,0.4445874452517936,0.6631562183147325,0.2566826811944511
tu_available__TU0-13593[c],0.6933730509951728,0.6424292226756644,0.6536663812733597,0.7700501367939869,0.0,0.0,0.6933730509951728,0.6424292226756644,0.6536663812733597,0.7700501367939869,0.0,0.0,0.6631562183147324,0.026764924178217676,0.256683378931329,0.4445886537675165,0.6631562183147324,0.256683378931329
tu_available__TU0-13642[c],0.693373050995173,0.6424292226756644,0.6536663812733599,0.7700502493386371,0.0,0.0,0.693373050995173,0.6424292226756644,0.6536663812733599,0.7700502493386371,0.0,0.0,0.6631562183147324,0.026764924178217783,0.25668341644621234,0.4445887187452006,0.6631562183147324,0.25668341644621234
tu_available__TU0-13444[c],0.6933730509951722,0.6424292226756645,0.6536663812733602,0.7700492224111065,0.0,0.0,0.6933730509951722,0.6424292226756645,0.6536663812733602,0.7700492224111065,0.0,0.0,0.6631562183147324,0.026764924178217242,0.2566830741370355,0.44458812584831436,0.6631562183147324,0.2566830741370355
tu_available__TU0-13135[c],0.6933730509951721,0.6424292226756648,0.6536663812733603,0.7700484014939288,0.0,0.0,0.6933730509951721,0.6424292226756648,0.6536663812733603,0.7700484014939288,0.0,0.0,0.6631562183147324,0.02676492417821703,0.25668280049797626,0.4445876518915609,0.6631562183147324,0.25668280049797626
tu_available__TU0-13935[c],0.6933730509951732,0.6424292226756639,0.6536663812733587,0.7700513538067663,0.0,0.0,0.6933730509951732,0.6424292226756639,0.6536663812733587,0.7700513538067663,0.0,0.0,0.663156218314732,0.026764924178218276,0.25668378460225544,0.4445893564101722,0.663156218314732,0.25668378460225544
tu_available__TU0-14004[c],0.6933730509951731,0.6424292226756637,0.653666381273359,0.7700516778248859,0.0,0.0,0.6933730509951731,0.6424292226756637,0.653666381273359,0.7700516778248859,0.0,0.0,0.6631562183147319,0.02676492417821826,0.2566838926082953,0.4445895434821208,0.6631562183147319,0.2566838926082953
tu_available__TU0-14042[c],0.693373050995173,0.6424292226756638,0.6536663812733587,0.7700517847974958,0.0,0.0,0.693373050995173,0.6424292226756638,0.6536663812733587,0.7700517847974958,0.0,0.0,0.6631562183147318,0.026764924178218193,0.2566839282658319,0.44458960524278607,0.6631562183147318,0.2566839282658319
tu_available__TU0-42202[c],0.6933730509951771,0.6424292226756615,0.6536663812733559,0.7700569603883325,0.0,0.0,0.6933730509951771,0.6424292226756615,0.6536663812733559,0.7700569603883325,0.0,0.0,0.6631562183147315,0.02676492417822193,0.2566856534627775,0.4445925933715487,0.6631562183147315,0.2566856534627775
tu_available__TU0-42628[c],0.6933730509951767,0.6424292226756609,0.6536663812733557,0.7700575764119525,0.0,0.0,0.6933730509951767,0.6424292226756609,0.6536663812733557,0.7700575764119525,0.0,0.0,0.6631562183147311,0.02676492417822191,0.25668585880398415,0.4445929490329516,0.6631562183147311,0.25668585880398415
tu_available__TU0-45156[c],0.6933730509951767,0.6424292226756608,0.6536663812733553,0.7700576632132056,0.0,0.0,0.6933730509951767,0.6424292226756608,0.6536663812733553,0.7700576632132056,0.0,0.0,0.6631562183147309,0.026764924178222033,0.2566858877377352,0.44459299914767836,0.6631562183147309,0.2566858877377352
tu_available__TU0-5522[c],0.6933730509951763,0.6424292226756602,0.653666381273355,0.7700585986104909,0.0,0.0,0.6933730509951763,0.6424292226756602,0.653666381273355,0.7700585986104909,0.0,0.0,0.6631562183147305,0.02676492417822216,0.2566861995368303,0.44459353919955286,0.6631562183147305,0.2566861995368303
tu_available__TU0-6660[c],0.693373050995177,0.6424292226756595,0.6536663812733543,0.7700601330509385,0.0,0.0,0.693373050995177,0.6424292226756595,0.6536663812733543,0.7700601330509385,0.0,0.0,0.6631562183147303,0.02676492417822291,0.2566867110169795,0.4445944251091583,0.6631562183147303,0.2566867110169795
tu_available__TU0-7842[c],0.693373050995177,0.6424292226756593,0.653666381273354,0.7700605972377098,0.0,0.0,0.693373050995177,0.6424292226756593,0.653666381273354,0.7700605972377098,0.0,0.0,0.6631562183147302,0.026764924178223057,0.25668686574590327,0.4445946931075158,0.6631562183147302,0.25668686574590327
tu_available__TU0-6653[c],0.6933730509951763,0.6424292226756596,0.653666381273354,0.7700600547509427,0.0,0.0,0.6933730509951763,0.6424292226756596,0.653666381273354,0.7700600547509427,0.0,0.0,0.66315621831473,0.026764924178222557,0.25668668491698093,0.44459437990263473,0.66315621831473,0.25668668491698093
tu_available__TU0-8323[c],0.6933730509951759,0.6424292226756594,0.6536663812733539,0.7700609014157188,0.0,0.0,0.6933730509951759,0.6424292226756594,0.6536663812733539,0.7700609014157188,0.0,0.0,0.6631562183147297,0.026764924178222408,0.2566869671385729,0.44459486872477116,0.6631562183147297,0.2566869671385729
tu_available__TU0-8477[c],0.6933730509951763,0.6424292226756588,0.6536663812733534,0.7700612757984695,0.0,0.0,0.6933730509951763,0.6424292226756588,0.6536663812733534,0.7700612757984695,0.0,0.0,0.6631562183147295,0.026764924178222953,0.2566870919328232,0.444595084874753,0.6631562183147295,0.2566870919328232
tu_available__TU0-14399[c],0.6933730509951657,0.6424292226756635,0.6536663812733582,0.7700529376664487,0.0,0.0,0.6933730509951657,0.6424292226756635,0.6536663812733582,0.7700529376664487,0.0,0.0,0.6631562183147292,0.026764924178214286,0.2566843125554829,0.44459027085198616,0.6631562183147292,0.2566843125554829
tu_available__TU0-14257[c],0.693373050995165,0.6424292226756634,0.6536663812733583,0.7700527312668687,0.0,0.0,0.693373050995165,0.6424292226756634,0.6536663812733583,0.7700527312668687,0.0,0.0,0.6631562183147289,0.02676492417821393,0.2566842437556229,0.44459015168713323,0.6631562183147289,0.2566842437556229
tu_available__TU00055[c],0.693373050995176,0.6424292226756579,0.6536663812733525,0.7700629173482665,0.0,0.0,0.693373050995176,0.6424292226756579,0.6536663812733525,0.7700629173482665,0.0,0.0,0.6631562183147288,0.02676492417822327,0.25668763911608883,0.4445960326239702,0.6631562183147288,0.25668763911608883
tu_available__TU0-14467[c],0.6933730509951657,0.6424292226756627,0.6536663812733577,0.7700534475292228,0.0,0.0,0.6933730509951657,0.6424292226756627,0.6536663812733577,0.7700534475292228,0.0,0.0,0.6631562183147287,0.026764924178214668,0.2566844825097409,0.4445905652213962,0.6631562183147287,0.2566844825097409
tu_available__TU0-14658[c],0.6933730509951664,0.6424292226756623,0.6536663812733571,0.7700543435814261,0.0,0.0,0.6933730509951664,0.6424292226756623,0.6536663812733571,0.7700543435814261,0.0,0.0,0.6631562183147287,0.026764924178215393,0.2566847811938087,0.4445910825573769,0.6631562183147287,0.2566847811938087
tu_available__TU0-14634[c],0.6933730509951661,0.6424292226756625,0.6536663812733574,0.7700539487423116,0.0,0.0,0.6933730509951661,0.6424292226756625,0.6536663812733574,0.7700539487423116,0.0,0.0,0.6631562183147287,0.026764924178215063,0.25668464958077053,0.4445908545969079,0.6631562183147287,0.25668464958077053
tu_available__TU0-14654[c],0.6933730509951666,0.6424292226756625,0.6536663812733569,0.7700542453780507,0.0,0.0,0.6933730509951666,0.6424292226756625,0.6536663812733569,0.7700542453780507,0.0,0.0,0.6631562183147287,0.02676492417821541,0.25668474845935024,0.44459102585963167,0.6631562183147287,0.25668474845935024
