label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V14_G1,14,1,2528.0,0,0,0.0,87,205,135.63218390804596,183,2
V14_G2,14,2,2789.0,0,0,0.0,98,96,-2.0408163265306123,371,1
V14_G3,14,3,2977.0,0,1,100.0,44,223,406.8181818181818,303,4
V14_G4,14,4,3350.0,0,0,0.0,108,101,-6.481481481481481,255,0
V14_G5,14,5,3146.0,0,0,0.0,48,46,-4.166666666666666,297,0
V14_G6,14,6,3001.0,0,0,0.0,13,42,223.0769230769231,314,5
V14_G7,14,7,3016.0,0,0,0.0,19,321,1589.4736842105265,173,5
V14_G8,14,8,3279.0,0,0,0.0,168,197,17.261904761904763,194,4
