dtw_distance,duration_ratio,amplitude_ratio,composite_tdi,generation_pair,feature
2.497028272252483,0.11111111111111116,0.0440381158694384,0.8840591664110109,1-2,dry_mass
0.9926027735044243,0.03571428571428581,0.0019204287322839297,0.34341249598366463,2-3,dry_mass
3.774336827729836,0.006896551724137945,0.07026314796284094,1.283832175805605,3-4,dry_mass
2.6343979533399007,0.11643835616438358,0.018312547613261843,0.9230496190391819,4-5,dry_mass
1.3993924768410988,0.036809815950920255,0.04773520361025407,0.494645832134091,5-6,dry_mass
1.0368256747244298,0.0573248407643312,0.02312374808072848,0.37242475452316315,6-7,dry_mass
4.45047775988436,0.013513513513513487,0.057556307034416165,1.5071825268107633,7-8,dry_mass
1.068246949230919e-05,0.11111111111111116,0.0354657247368354,0.04886250610581296,1-2,instantaneous_growth_rate
2.4200622941576654e-05,0.03571428571428581,0.0438269467877791,0.026521811041668827,2-3,instantaneous_growth_rate
1.9389515125766966e-05,0.006896551724137945,0.0731841955227781,0.026700045587347274,3-4,instantaneous_growth_rate
8.460395081038486e-06,0.11643835616438358,0.050858958859257175,0.0557685918062406,4-5,instantaneous_growth_rate
1.0234531614961502e-05,0.036809815950920255,0.044077387015744485,0.026965812499426565,5-6,instantaneous_growth_rate
6.042021281934496e-06,0.0573248407643312,6.710646535257325e-05,0.019132663083655233,6-7,instantaneous_growth_rate
1.3589980759827543e-05,0.013513513513513487,0.1030815599856294,0.03886955449330091,7-8,instantaneous_growth_rate
