label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V19_G1,19,1,2528.0,1,2,100.0,3,3,0.0,0,9
V19_G2,19,2,2709.0,1,0,-100.0,2,0,-100.0,0,2
V19_G3,19,3,3048.0,0,0,0.0,0,1,100.0,0,5
V19_G4,19,4,3057.0,0,2,200.0,1,3,200.0,0,8
V19_G5,19,5,3087.0,1,2,100.0,3,2,-33.33333333333333,0,5
V19_G6,19,6,3068.0,1,2,100.0,1,0,-100.0,0,7
V19_G7,19,7,3575.0,1,2,100.0,1,4,300.0,0,7
V19_G8,19,8,3806.0,1,1,0.0,0,0,0.0,0,8
