label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V19_G1,19,1,2528.0,1,0,-100.0,86,96,11.627906976744185,0,5
V19_G2,19,2,2669.0,0,0,0.0,49,80,63.26530612244898,0,8
V19_G3,19,3,2793.0,0,1,100.0,44,65,47.72727272727273,0,6
V19_G4,19,4,3169.0,0,0,0.0,35,93,165.71428571428572,0,6
V19_G5,19,5,3019.0,0,0,0.0,51,85,66.66666666666666,0,8
V19_G6,19,6,2663.0,0,0,0.0,50,84,68.0,0,5
V19_G7,19,7,2784.0,0,0,0.0,42,82,95.23809523809523,0,4
V19_G8,19,8,2871.0,0,0,0.0,41,104,153.65853658536585,0,7
