label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V11_G1,11,1,2528.0,2,2,0.0,4,40,900.0,38,56
V11_G2,11,2,2829.0,1,10,900.0,0,21,2100.0,2,60
V11_G3,11,3,2541.0,4,5,25.0,16,39,143.75,0,56
V11_G4,11,4,2705.0,4,4,0.0,21,36,71.42857142857143,62,57
V11_G5,11,5,2749.0,0,3,300.0,20,8,-60.0,260,61
V11_G6,11,6,2530.0,2,3,50.0,6,2,-66.66666666666666,248,74
V11_G7,11,7,2302.0,2,3,50.0,2,36,1700.0,338,70
V11_G8,11,8,2796.0,2,10,400.0,25,40,60.0,85,78
