label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V11_G1,11,1,2528.0,0,2,200.0,416,592,42.30769230769231,0,12
V11_G2,11,2,2829.0,1,2,100.0,299,423,41.47157190635451,0,10
V11_G3,11,3,2541.0,2,2,0.0,218,496,127.5229357798165,0,11
V11_G4,11,4,2705.0,1,2,100.0,223,616,176.23318385650225,0,15
V11_G5,11,5,2749.0,1,0,-100.0,305,878,187.86885245901638,0,18
V11_G6,11,6,2530.0,0,0,0.0,437,854,95.4233409610984,0,16
V11_G7,11,7,2302.0,0,0,0.0,426,642,50.70422535211267,0,15
V11_G8,11,8,2796.0,0,1,100.0,306,509,66.33986928104575,0,19
