label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V11_G1,11,1,2528.0,2,4,100.0,5668,9720,71.48906139731828,294,49
V11_G2,11,2,2829.0,1,5,400.0,4850,9426,94.35051546391753,341,44
V11_G3,11,3,2541.0,4,6,50.0,4726,9111,92.78459585272958,462,42
V11_G4,11,4,2705.0,2,4,100.0,4586,9666,110.77191452245967,327,49
V11_G5,11,5,2749.0,4,8,100.0,4815,9684,101.12149532710279,667,38
V11_G6,11,6,2530.0,3,6,100.0,4877,10773,120.89399220832479,519,66
V11_G7,11,7,2302.0,1,4,300.0,5448,8957,64.40895741556535,229,51
V11_G8,11,8,2796.0,2,9,350.0,4447,7103,59.72565774679559,274,52
