label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V11_G1,11,1,2528.0,0,0,0.0,65,74,13.846153846153847,93,1
V11_G2,11,2,2829.0,0,0,0.0,32,51,59.375,426,3
V11_G3,11,3,2541.0,0,0,0.0,27,128,374.0740740740741,239,4
V11_G4,11,4,2705.0,0,0,0.0,60,61,1.6666666666666667,287,3
V11_G5,11,5,2749.0,0,0,0.0,29,172,493.1034482758621,577,5
V11_G6,11,6,2530.0,0,0,0.0,92,133,44.565217391304344,84,4
V11_G7,11,7,2302.0,0,0,0.0,61,82,34.42622950819672,33,3
V11_G8,11,8,2796.0,0,0,0.0,41,101,146.34146341463415,250,4
