label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V11_G1,11,1,2528.0,0,0,0.0,33,49,48.484848484848484,0,0
V11_G2,11,2,2829.0,0,0,0.0,23,242,952.1739130434784,0,0
V11_G3,11,3,2541.0,0,0,0.0,132,124,-6.0606060606060606,0,0
V11_G4,11,4,2705.0,0,0,0.0,61,54,-11.475409836065573,0,0
V11_G5,11,5,2749.0,0,0,0.0,24,23,-4.166666666666666,0,0
V11_G6,11,6,2530.0,0,0,0.0,12,170,1316.6666666666665,0,0
V11_G7,11,7,2302.0,0,0,0.0,88,115,30.681818181818183,0,0
V11_G8,11,8,2796.0,0,0,0.0,57,54,-5.263157894736842,0,0
