label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V12_G1,12,1,2528.0,3,1,-66.66666666666666,1,0,-100.0,9,27
V12_G2,12,2,2715.0,2,1,-50.0,2,0,-100.0,36,32
V12_G3,12,3,2862.0,1,1,0.0,0,1,100.0,50,19
V12_G4,12,4,2748.0,0,1,100.0,0,1,100.0,81,24
V12_G5,12,5,3215.0,1,5,400.0,2,2,0.0,23,35
V12_G6,12,6,3230.0,3,4,33.33333333333333,0,1,100.0,56,42
V12_G7,12,7,3540.0,3,2,-33.33333333333333,3,0,-100.0,48,34
V12_G8,12,8,3407.0,1,6,500.0,0,1,100.0,15,38
