label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V12_G1,12,1,2528.0,0,0,0.0,1,1,0.0,39493,0
V12_G2,12,2,2715.0,0,0,0.0,1,1,0.0,42805,0
V12_G3,12,3,2862.0,0,0,0.0,1,1,0.0,49179,0
V12_G4,12,4,2748.0,0,0,0.0,0,0,0.0,44679,0
V12_G5,12,5,3215.0,0,0,0.0,0,0,0.0,37779,0
V12_G6,12,6,3230.0,0,0,0.0,0,0,0.0,28628,0
V12_G7,12,7,3540.0,0,0,0.0,0,0,0.0,27440,0
V12_G8,12,8,3407.0,0,0,0.0,0,1,100.0,24684,2
