label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V12_G1,12,1,2528.0,2,4,100.0,5668,9231,62.86167960479887,299,42
V12_G2,12,2,2715.0,2,1,-50.0,4639,9331,101.14248760508731,508,40
V12_G3,12,3,2862.0,1,1,0.0,4703,7631,62.258133106527744,240,31
V12_G4,12,4,2748.0,0,2,200.0,3856,8429,118.59439834024896,400,25
V12_G5,12,5,3215.0,0,4,400.0,4215,7829,85.74139976275208,350,40
V12_G6,12,6,3230.0,2,9,350.0,3926,7530,91.79826795720835,201,68
V12_G7,12,7,3540.0,3,7,133.33333333333331,3770,7818,107.37400530503977,385,56
V12_G8,12,8,3407.0,1,3,200.0,3942,5738,45.56062912227296,227,47
