dtw_distance,duration_ratio,amplitude_ratio,composite_tdi,generation_pair,feature
34.83852491426032,0.3410852713178295,0.1405973589370354,11.773402514838395,1-2,dry_mass
29.300556920234875,0.5529411764705883,0.11069202433927383,9.988063373681578,2-3,dry_mass
5.798665115645584,0.007575757575757569,0.04202217107023409,1.9494210147638587,3-4,dry_mass
5.140547259215998,0.10526315789473695,0.09788698242354321,1.781232466511426,4-5,dry_mass
0.9747122247182606,0.09523809523809534,0.02082726839071447,0.3635925294490235,5-6,dry_mass
0.6849147303470922,0.04347826086956519,0.00560473479099155,0.2446659086692163,6-7,dry_mass
0.7905803049116458,0.025974025974025983,0.022298834788964217,0.2796177218915453,7-8,dry_mass
1.3143526310222967e-05,0.3410852713178295,0.063641372744213,0.1349132625294509,1-2,instantaneous_growth_rate
1.7647295317566458e-05,0.5529411764705883,0.09523184994132072,0.21606355790240886,2-3,instantaneous_growth_rate
4.1319918482486304e-05,0.007575757575757569,0.19702871867929528,0.06821526539117845,3-4,instantaneous_growth_rate
2.169330052003697e-05,0.10526315789473695,0.03505327153999516,0.04677937424508405,4-5,instantaneous_growth_rate
1.7218257442746703e-05,0.09523809523809534,0.004714722836732577,0.03332334544409022,5-6,instantaneous_growth_rate
1.1607035346769718e-05,0.04347826086956519,0.028581342612680083,0.02402373683919735,6-7,instantaneous_growth_rate
1.0625879915193824e-05,0.025974025974025983,0.007945901816404866,0.011310184556782015,7-8,instantaneous_growth_rate
