project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,initial_dry_mass,final_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used
all_media_conditions1,0,baseline,0.00024160737009998117,0.00024150782194353208,2.7001904067646945e-05,379.9502144867157,691.3110038152893,1.8194778617224856,5330.0,268,2
all_media_conditions1,1,with_aa,0.0003822082967691003,0.00037057599359834373,8.131182415407752e-05,396.84344471000725,1098.103931493371,2.7670960579827866,4327.0,218,2
gene_knockout_metabolic1,1,KO: EG10003,0.0002377086676472334,0.0002362626714931759,2.720519782753567e-05,380.00305291913924,702.6644520763189,1.8491021234659362,5330.0,268,2
gene_knockout_metabolic1,2,KO: EG10013,0.00023840069670224575,0.00023707784497914837,3.564611382698588e-05,379.99864053232704,712.3507634987686,1.8746139788838743,5350.0,269,2
gene_knockout_non_metabolic1,1,KO: EG10001,0.0002381756027894527,0.00024090520775763924,3.177200975407436e-05,379.89713408537375,673.4695523634127,1.7727681836422196,5250.0,264,2
gene_knockout_non_metabolic1,2,KO: EG10004,0.00024743345266036706,0.00024303711388358497,2.9964735932974527e-05,379.890034588455,699.7676988406313,1.8420269949926649,5250.0,264,2
