label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2520.0,0,0,0.0,448,939,109.59821428571428,0,0
V1_G2,1,2,2810.0,0,1,100.0,457,808,76.80525164113786,0,2
V1_G3,1,3,2780.0,0,1,100.0,401,882,119.9501246882793,0,1
V1_G4,1,4,2740.0,0,1,100.0,415,861,107.4698795180723,0,0
V1_G5,1,5,2600.0,1,0,-100.0,471,794,68.57749469214437,0,2
V1_G6,1,6,2850.0,0,0,0.0,374,642,71.65775401069519,0,0
V1_G7,1,7,2690.0,0,1,100.0,319,649,103.44827586206897,0,2
V1_G8,1,8,2880.0,0,0,0.0,314,464,47.77070063694268,0,1
