label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2528.0,0,1,100.0,138,161,16.666666666666664,1037,88
V1_G2,1,2,2816.0,0,5,500.0,68,91,33.82352941176471,1105,105
V1_G3,1,3,2782.0,2,4,100.0,57,96,68.42105263157895,1410,92
V1_G4,1,4,2757.0,3,5,66.66666666666666,49,126,157.14285714285714,1697,106
V1_G5,1,5,2609.0,5,2,-60.0,70,117,67.14285714285714,1445,85
V1_G6,1,6,2859.0,1,2,100.0,58,108,86.20689655172413,1410,93
V1_G7,1,7,2705.0,0,5,500.0,57,84,47.368421052631575,996,107
V1_G8,1,8,2884.0,2,0,-100.0,38,82,115.78947368421053,1371,100
