Constituent gene names,Mean protein copy numbers,"p (mRNA, without operons)","p (mRNA, with operons)","p (protein, without operons)","p (protein, with operons)"
"yfeK, yfeS",96.4,0.070,1.000,0.926,1.000
"ykfI, yafW, ykfH, ykfG, yafX, ykfF, ykfB, yafY",96.0,0.000,0.352,0.562,0.904
"mcrC, mcrB",95.0,0.069,1.000,0.988,0.991
"fdhE, fdoI, fdoH, fdoG",94.9,0.006,1.000,0.944,0.972
"insB5, insA5, insAB5",94.4,0.017,1.000,0.989,0.993
"ugpQ, ugpC, ugpE, ugpA, ugpB",94.3,0.000,1.000,0.863,0.966
"insB1, insA1, insAB1",94.1,0.018,1.000,0.992,0.996
"rssA, rssB",93.8,0.223,1.000,1.000,1.000
"glpA, glpB, glpC",92.8,0.013,1.000,0.996,0.999
"hipA, hipB",92.0,0.108,1.000,0.987,0.995
"pabA, fic, yhfG",90.7,0.016,1.000,0.995,0.999
"ygeA, araE",90.4,0.088,0.271,0.646,0.647
"ypeB, ligA",90.3,0.167,1.000,1.000,0.990
"ydgK, rsxA, rsxB, rsxC, rsxD, rsxG, rsxE, nth",89.9,0.001,1.000,0.999,0.982
"dadA, dadX",89.6,0.136,1.000,1.000,0.979
"glcA, glcB, glcG, glcF, glcE, glcD",89.1,0.000,0.832,0.556,0.961
"chaB, chaC",89.1,0.106,0.610,0.988,0.957
"paaX, paaY",89.0,0.090,1.000,0.985,0.977
"fucP, fucI, fucK, fucU, fucR",88.7,0.000,0.053,0.147,0.348
"ygaV, ygaP",87.3,0.088,1.000,0.990,0.990
"btuD, btuE, btuC",87.0,0.047,0.211,0.968,0.849
"lptF, lptG",86.2,0.237,1.000,1.000,1.000
"fruA, fruK, fruB",86.2,0.019,1.000,0.992,0.990
"rfe, wzzE, wecB, wecC, rffG, rffH, rffC, wecE, wzxE, wecF, wzyE, rffM",85.1,0.000,1.000,0.760,0.925
"ompN, ydbK",84.4,0.010,0.034,0.325,0.331
"glnE, ygiF",84.2,0.139,1.000,1.000,0.986
"ygaZ, ygaH",83.7,0.500,1.000,1.000,1.000
"creA, creB, creC, creD",82.7,0.002,0.147,0.742,0.719
"yqaA, yqaB",81.3,0.310,1.000,0.959,0.951
"hicA, hicB",80.9,0.053,1.000,0.879,0.985
"amiA, hemF",80.4,0.215,1.000,1.000,0.978
"rluA, rapA",79.5,0.147,0.814,0.990,0.969
"znuC, znuB",79.1,0.141,1.000,0.994,1.000
"lplA, ytjB",77.9,0.144,1.000,0.998,0.980
"fetA, fetB",77.0,0.088,1.000,0.961,0.977
"cusS, cusR",76.5,0.165,1.000,0.994,0.995
"pabB, nudL",76.1,0.123,1.000,0.989,0.994
"hsrA, yieP",74.9,0.073,1.000,0.680,0.969
"yedJ, drpB",74.8,0.160,1.000,1.000,0.982
"sapF, sapD, sapC, sapB, sapA",73.6,0.002,1.000,0.940,0.995
"sbmA, yaiW",73.1,0.103,1.000,0.991,0.989
"hprS, hprR",72.7,0.134,1.000,0.996,0.995
"gntU, gntK, gntR",72.7,0.004,0.082,0.630,0.562
"yciE, yciF, yciG",71.6,0.006,0.539,0.877,0.920
"rbsD, rbsA, rbsC, rbsB, rbsK, rbsR",71.3,0.000,1.000,0.953,0.914
"pqiA, pqiB, pqiC",71.3,0.020,0.451,0.898,0.877
"aaeB, aaeA, aaeX",70.8,0.002,1.000,0.473,0.882
"yhhJ, rbbA, yhiI",70.8,0.079,1.000,0.998,0.990
"yccS, yccF",70.8,0.150,1.000,0.994,0.992
"glaH, lhgD, gabD, gabT, gabP",70.3,0.000,0.867,0.844,0.815
"srlA, srlE, srlB, srlD, gutM, srlR, gutQ",70.2,0.000,0.308,0.684,0.771
"gadC, gadB",69.2,0.100,1.000,0.902,0.911
"dgoT, dgoD, dgoA, dgoK, dgoR",68.5,0.000,1.000,0.300,0.806
"ydbH, ynbE, ydbL",68.2,0.009,1.000,0.937,0.959
"ybgA, phr",68.2,0.102,0.851,0.968,0.980
"yhhZ, insA6, insAB6, insB6",68.1,0.000,1.000,0.151,0.970
"basS, basR",67.1,0.085,1.000,0.995,0.983
"nikA, nikB, nikC, nikD, nikE, nikR",66.6,0.000,0.034,0.147,0.299
"higA, higB",65.7,0.063,1.000,0.914,0.998
"yfeZ, ypeA",65.5,0.127,1.000,0.969,0.989
"yffQ, yffR",64.1,0.023,1.000,0.702,0.987
"nhaA, nhaR",63.9,0.104,0.767,0.984,0.976
"cbrB, cbrC",63.4,0.070,0.570,0.959,0.967
"yhaK, yhaL",62.4,0.030,1.000,0.686,0.967
"mmuP, mmuM",62.4,0.079,1.000,0.968,0.989
"yagB, yagA",61.0,0.012,1.000,0.349,0.963
"ycaI, msbA, lpxK, ycaQ",60.9,0.001,1.000,0.441,0.851
"yfiR, dgcN, yfiB",60.1,0.018,1.000,0.942,0.958
"lexA, dinF",59.6,0.053,1.000,0.684,0.735
"tapT, patZ",57.8,0.079,1.000,0.812,0.814
"sanA, yeiS",57.8,0.107,1.000,0.970,0.969
"fadA, fadB",57.0,0.064,1.000,0.982,0.968
"yjeN, yjeO",56.3,0.033,1.000,0.773,0.967
"dsdX, dsdA",55.9,0.025,0.276,0.717,0.628
"ydgI, folM",55.2,0.061,1.000,0.818,0.972
"sbcC, sbcD",53.4,0.120,1.000,0.976,0.985
"nanQ, nanK, nanE, nanT, nanA",53.2,0.000,0.852,0.524,0.824
"waaU, waaZ, waaY, waaJ, waaO, waaB, waaS, waaP, waaG, waaQ",53.1,0.000,1.000,0.899,0.972
"essD, rrrD, rzpD",53.0,0.003,1.000,0.749,0.947
"pyrS, pyrR, ypdC",50.9,0.007,1.000,0.957,0.981
"insF4, insE4, insEF4",50.7,0.004,1.000,0.729,0.942
"ydhI, ydhJ, ydhK",50.5,0.007,1.000,0.722,0.920
"insE3, insEF3, insF3",50.2,0.002,1.000,0.728,0.941
"insE1, insEF1, insF1",50.0,0.001,1.000,0.704,0.949
"yehW, yehX, yehY, osmF",49.9,0.000,1.000,0.950,0.995
"insE5, insEF5, insF5",49.2,0.002,1.000,0.703,0.940
"malX, malY",48.2,0.056,0.335,0.929,0.901
"ybbA, ybbP",47.8,0.066,1.000,0.927,0.972
"cobT, cobS, cobU",47.7,0.018,1.000,0.968,0.962
"insF2, insE2, insEF2",47.6,0.001,1.000,0.730,0.934
"nanX, nanY",47.5,0.033,0.414,0.809,0.805
"dcuR, dcuS",47.1,0.096,0.609,0.973,0.928
"ynfE, ynfF, ynfG, ynfH, dmsD",46.6,0.000,1.000,0.406,0.620
"allE, allC, allD",46.1,0.000,1.000,0.128,0.836
"cydC, cydD",45.8,0.078,1.000,0.979,1.000
"mobB, mobA",45.8,0.134,1.000,0.981,0.975
"mdtA, mdtB, mdtC, mdtD, baeS, baeR",45.7,0.000,0.229,0.241,0.455
"gadW, gadX, gadA",45.3,0.008,0.052,0.819,0.765
"yjdI, yjdJ",45.3,0.057,1.000,0.956,0.952
"recD, recB, ptrA",45.2,0.027,1.000,0.991,0.927
"yidF, yidG, yidH",45.0,0.002,1.000,0.823,0.940
"ybhN, clsB, ybhP",45.0,0.004,1.000,0.851,0.935
"araH, araG, araF",44.9,0.002,1.000,0.828,0.928
"kefF, kefC",42.2,0.060,1.000,0.826,0.885
"chbG, chbF, chbR, chbA, chbC, chbB",41.5,0.000,1.000,0.371,0.765
"yahI, yahJ",41.0,0.030,1.000,0.564,0.966
"frlA, frlB, frlC, frlD, frlR",40.5,0.000,0.071,0.088,0.296
"frdD, frdC, frdB, frdA",40.4,0.000,1.000,0.828,0.956
"ybcL, ybcM",40.2,0.036,1.000,0.896,0.940
"letA, letB",40.1,0.114,1.000,0.959,0.960
"abpB, abpA",39.5,0.191,1.000,0.995,0.994
"lplT, aas",39.4,0.107,1.000,0.981,0.973
"yihV, csqR",39.4,0.022,0.152,0.692,0.637
"dpiB, dpiA",39.1,0.056,1.000,0.610,0.672
"dinB, yafN, yafO, yafP",38.5,0.000,1.000,0.803,0.799
"hokC, mokC",38.2,0.058,1.000,0.873,0.884
"hiuH, msrP, msrQ",38.0,0.004,0.882,0.806,0.846
"alsE, alsC, alsA, alsB, alsR",37.8,0.000,1.000,0.299,0.810
"yegT, yegU, yegV",37.5,0.000,1.000,0.716,0.884
"hcaE, hcaF, hcaC, hcaB, hcaD",37.3,0.000,1.000,0.768,0.894
"slp, dctR",36.6,0.014,1.000,0.602,0.945
"ybhR, ybhS, ybhF, ybhG, cecR",35.7,0.000,1.000,0.932,0.946
"intE, xisE, ymfH",35.6,0.001,1.000,0.779,0.860
"ydjX, ydjY, ydjZ, ynjA, ynjB, ynjC, ynjD",35.2,0.000,1.000,0.300,0.714
"insD2, insC2, insCD2",35.0,0.000,1.000,0.005,0.900
"arnB, arnC, arnA, arnD, arnT, arnE, arnF",34.7,0.000,1.000,0.366,0.762
"btsR, btsS",33.6,0.071,1.000,0.835,0.921
"lsrK, lsrR",32.8,0.036,1.000,0.710,0.800
"bglB, bglF, bglG",32.8,0.000,1.000,0.089,0.808
"yjiN, mdtM",32.2,0.031,1.000,0.758,0.868
"xylF, xylG, xylH, xylR",32.2,0.000,0.174,0.268,0.558
"fadJ, fadI",31.9,0.062,1.000,0.952,0.924
"ydfW, ydfX, dicC",31.9,0.001,1.000,0.345,0.868
"chpS, chpB",31.4,0.048,1.000,0.920,0.930
"ogt, abgT, abgB, abgA",31.3,0.000,0.116,0.226,0.396
"atoS, atoC",30.9,0.037,1.000,0.764,0.895
"melA, melB",30.6,0.017,1.000,0.785,0.857
"phoB, phoR",30.3,0.075,1.000,0.251,0.267
"yejA, yejB, yejE, yejF",30.0,0.002,1.000,0.908,0.948
"ycgZ, ymgA, ariR, ymgC",29.9,0.000,0.093,0.225,0.318
"nrdG, nrdD",29.6,0.032,1.000,0.790,0.954
"yafZ, ykfA",29.6,0.040,1.000,0.790,0.890
"lsrA, lsrC, lsrD, lsrB, lsrF, lsrG, tam",29.5,0.000,0.251,0.183,0.422
"yphB, yphC",28.8,0.035,1.000,0.791,0.862
"ykgO, ykgM",28.8,0.020,1.000,0.689,0.918
"insB3, insA3, insAB3",28.7,0.000,1.000,0.019,0.830
"umuD, umuC",28.6,0.035,1.000,0.747,0.871
"csgB, csgA, csgC",28.6,0.000,0.092,0.303,0.377
"nirB, nirD, nirC, cysG",28.5,0.000,0.110,0.290,0.426
"idnR, idnT, idnO, idnD",28.2,0.000,0.156,0.333,0.513
"bidA, mlc",28.1,0.040,0.193,0.812,0.806
"recC, ppdC, ygdB, ppdB, ppdA",28.1,0.000,0.235,0.373,0.749
"sgcR, sgcE, sgcA, sgcQ, sgcC, sgcB, sgcX",27.9,0.000,1.000,0.353,0.706
"mqsA, mqsR",27.7,0.227,1.000,0.989,0.993
"pgaD, pgaC, pgaB, pgaA",27.6,0.000,1.000,0.217,0.728
"ytfQ, ytfR, ytfT, yjfF",27.2,0.000,1.000,0.451,0.917
"yohJ, yohK",27.2,0.043,1.000,0.868,0.871
"ydfA, ydfB, ydfC",27.1,0.000,1.000,0.331,0.803
"kdpE, kdpD",27.1,0.062,1.000,0.888,0.912
"xanQ, guaD, ghxQ",26.8,0.000,1.000,0.682,0.796
"cas2, cas1, casE, casD, casC, casB, casA",26.6,0.000,0.364,0.260,0.547
"insC5, insCD5, insD5, yqiH, yqiI",26.1,0.000,1.000,0.001,0.692
"murQ, murP, yfeW",25.9,0.002,0.702,0.596,0.713
"pdeI, dgcI",25.9,0.073,1.000,0.934,0.917
"ymfT, ymfL, ymfM, ymfN, ymfR, beeE, ymfQ, ycfK, tfaP",25.8,0.000,1.000,0.041,0.614
"yihL, yihM",25.4,0.025,1.000,0.812,0.851
"yjjU, yjjV",25.2,0.071,1.000,0.924,0.947
"yjbE, yjbF, yjbG, yjbH",25.1,0.000,0.071,0.059,0.142
"hybG, hybF, hybE, hybD, hybC, hybB, hybA, hybO",24.8,0.000,1.000,0.136,0.718
"elfD, elfC, elfG, ycbU, ycbV, ycbF",24.7,0.000,1.000,0.193,0.725
"yhfY, yhfZ",24.4,0.013,1.000,0.745,0.849
"ascF, ascB",23.9,0.026,0.792,0.705,0.780
"yraI, yraJ, yraK",23.7,0.000,1.000,0.281,0.791
"gspB, gspA",22.9,0.006,1.000,0.487,0.768
"etk, etp, gfcE",22.8,0.001,1.000,0.642,0.757
"glnK, amtB",22.7,0.017,1.000,0.527,0.736
"yeeR, yeeS, yeeT, cbeA, cbtA, yeeW",22.6,0.000,1.000,0.144,0.646
"arsR, arsB, arsC",22.3,0.000,1.000,0.284,0.601
"hypA, hypB, hypC, hypD, hypE, fhlA",22.2,0.000,0.568,0.396,0.616
"ycfZ, ymfA",22.2,0.015,1.000,0.744,0.823
"yfdP, yfdQ",21.8,0.034,1.000,0.712,0.834
"ydcS, ydcT, ydcU, ydcV, patD",21.7,0.000,0.531,0.413,0.692
"ybjO, rlmC",21.1,0.094,1.000,0.921,0.942
"yffO, yffP",20.7,0.036,1.000,0.712,0.809
"ulaA, ulaB, ulaC, ulaD, ulaE, ulaF",20.4,0.000,1.000,0.193,0.562
"wcaM, wcaL, wcaK",20.3,0.000,1.000,0.469,0.675
"yfjR, ypjK, yfjS, yfjT",20.3,0.000,1.000,0.364,0.695
"cynT, cynS, cynX",20.2,0.000,0.324,0.367,0.400
"ykgE, ykgF, ykgG",19.9,0.000,1.000,0.483,0.721
"yhcA, yhcD",19.7,0.026,1.000,0.629,0.757
"yhdX, yhdY, yhdZ",19.6,0.005,1.000,0.364,0.728
"nanS, nanM, nanC",19.5,0.000,0.839,0.311,0.647
"ydaS, ydaT, ydaU, ydaV, ydaW",19.4,0.000,1.000,0.208,0.589
"ecpE, ecpD, ecpC, ecpB",19.4,0.000,1.000,0.309,0.634
"yihS, yihT, yihU",18.7,0.000,1.000,0.266,0.536
"alkB, ada",18.5,0.051,1.000,0.801,0.767
"rspB, rspA",18.0,0.022,1.000,0.687,0.787
"ygbJ, ygbK",17.9,0.015,0.416,0.661,0.652
"rhaS, rhaR",17.9,0.014,1.000,0.566,0.733
"ygfS, ygfT",17.9,0.016,1.000,0.586,0.817
"hycI, hycH, hycG, hycF, hycE, hycD, hycC, hycB, hycA",17.5,0.000,1.000,0.029,0.580
"yfcO, yfcP, yfcQ, yfcR, yfcS",17.4,0.000,1.000,0.147,0.788
"hofC, hofB, ppdD",17.4,0.000,1.000,0.236,0.665
"gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO",17.0,0.000,1.000,0.239,0.640
"ymfD, ymfE",17.0,0.023,1.000,0.616,0.790
"ynaK, ydaY",16.8,0.030,1.000,0.597,0.754
"yicI, yicJ",16.7,0.009,1.000,0.473,0.626
"fucO, fucA",16.4,0.025,0.570,0.416,0.491
"viaA, ravA",16.4,0.041,1.000,0.778,0.809
"mdtE, mdtF",16.1,0.014,1.000,0.810,0.922
"norV, norW",16.1,0.026,1.000,0.539,0.706
"cyuA, cyuP",15.7,0.032,1.000,0.255,0.329
"gldA, fsaB, ptsA",15.6,0.000,1.000,0.109,0.396
"gudD, gudX, gudP",15.6,0.000,1.000,0.213,0.614
"rhsD, ybbC",15.5,0.024,1.000,0.374,0.510
"yibH, yibI",15.4,0.021,1.000,0.627,0.751
"treC, treB",15.3,0.018,1.000,0.572,0.750
"ygbL, ygbM",15.3,0.008,1.000,0.580,0.789
"yfdR, yfdS, yfdT",15.2,0.000,1.000,0.045,0.683
"dmsA, dmsB, dmsC",15.1,0.001,0.532,0.518,0.701
"ybgO, ybgP, ybgQ",14.8,0.003,1.000,0.208,0.691
"ccmH, ccmG, ccmF, ccmE, ccmD, ccmC, ccmB, ccmA, napC, napB, napH, napG, napA, napD, napF",14.5,0.000,0.310,0.006,0.175
"yjhG, yjhH, yjhI",14.5,0.001,1.000,0.293,0.677
"hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, focB",14.0,0.000,1.000,0.091,0.364
"ydfT, ydfU",14.0,0.008,1.000,0.381,0.762
"yfaU, yfaV, rhmD, yfaX",13.9,0.000,0.423,0.122,0.281
"qseB, qseC",13.3,0.004,1.000,0.492,0.663
"yagG, yagH",13.3,0.031,1.000,0.493,0.724
"ddpF, ddpD, ddpC, ddpB, ddpA, ddpX",13.3,0.000,1.000,0.218,0.675
"paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK",13.1,0.000,0.349,0.017,0.239
"ssuB, ssuC, ssuD, ssuA, ssuE",13.0,0.000,1.000,0.062,0.394
"torC, torA, torD",12.9,0.000,1.000,0.244,0.671
"rhsA, yibA",12.9,0.011,0.621,0.568,0.578
"yqcE, ygcE",12.4,0.018,1.000,0.517,0.672
"mhpA, mhpB, mhpC, mhpD, mhpF, mhpE",12.4,0.000,1.000,0.046,0.273
"stfR, tfaR",12.4,0.023,1.000,0.566,0.640
"hypF, hydN",12.4,0.009,0.783,0.564,0.678
"yhfS, yhfT, yhfU, php, yhfW, yhfX",12.3,0.000,1.000,0.022,0.399
"glsA, ybaT",12.3,0.020,1.000,0.466,0.718
"ydeM, ydeN",12.3,0.003,0.164,0.298,0.292
"rclC, rclB, rclA",12.1,0.000,1.000,0.278,0.517
"tauA, tauB, tauC, tauD",11.9,0.000,1.000,0.170,0.517
"eutM, eutD, eutT, eutQ, eutP, eutS",11.9,0.000,1.000,0.021,0.265
"yoaG, yeaR",11.9,0.043,1.000,0.501,0.726
"paoD, paoC, paoB, paoA",11.8,0.000,1.000,0.263,0.567
"ybeU, djlC",11.7,0.010,1.000,0.380,0.675
"narG, narH, narJ, narI",11.7,0.000,1.000,0.201,0.464
"rtcA, rtcB",11.5,0.046,1.000,0.636,0.744
"astE, astB, astD, astA, astC",11.3,0.000,1.000,0.200,0.453
"yfjP, yfjQ",11.2,0.018,1.000,0.375,0.584
"yfjX, yfjY, ypjJ, yfjZ, ypjF",10.9,0.000,1.000,0.110,0.418
"pflD, pflC",10.9,0.007,1.000,0.448,0.686
"yadC, yadK, yadL, yadM",10.8,0.000,0.618,0.138,0.441
"preT, preA",10.8,0.009,1.000,0.443,0.836
"yggC, fumE, yggF, yggP, cmtA, cmtB",10.7,0.000,0.043,0.036,0.146
"tfaQ, stfQ, nohA",10.6,0.000,1.000,0.194,0.441
"yqeI, yqeJ",10.5,0.015,1.000,0.401,0.668
"yqiJ, yqiK",10.5,0.012,1.000,0.556,0.753
"yigF, yigG",10.5,0.026,1.000,0.320,0.589
"yagE, yagF",10.5,0.032,1.000,0.371,0.584
"yghR, yghS",10.4,0.016,1.000,0.366,0.633
"gfcD, gfcC, gfcB",10.3,0.000,1.000,0.318,0.557
"ghoS, ghoT",10.3,0.012,1.000,0.515,0.638
"rzpQ, rrrQ, ydfR, essQ",10.3,0.000,1.000,0.099,0.453
"yfaP, yfaQ, yfaT, yfaA",10.2,0.000,1.000,0.159,0.463
"rhsC, ybfB",10.2,0.027,1.000,0.485,0.656
"ybiW, ybiY",10.1,0.017,1.000,0.503,0.687
"phnP, phnO, phnN, phnM, phnL, phnK, phnJ, phnI, phnH, phnG, phnF, phnD, phnC",10.1,0.000,0.214,0.000,0.099
"caiE, caiD, caiC, caiB, caiA, caiT",10.0,0.000,0.801,0.005,0.325
"ygfM, xdhD",9.9,0.026,1.000,0.577,0.685
"ydhT, ydhU, ydhX, ydhW, ydhV, ydhY",9.6,0.000,0.466,0.027,0.326
"ygcN, ygcO, ygcP",9.6,0.001,1.000,0.047,0.169
"yfgH, yfgI",9.5,0.013,1.000,0.420,0.712
"yieK, yieL, bglH",9.5,0.000,1.000,0.199,0.519
"ydiF, ydiO",9.5,0.021,1.000,0.432,0.621
"hofP, hofO, hofN, hofM",9.5,0.000,1.000,0.182,0.463
"kbaZ, agaV",9.5,0.008,1.000,0.517,0.666
"yagL, yagM",9.5,0.022,1.000,0.349,0.636
"tdcG, tdcF, tdcE, tdcD, tdcC, tdcB, tdcA",9.5,0.000,0.148,0.012,0.084
"yjiL, yjiM",9.4,0.001,1.000,0.456,0.574
"torZ, torY",9.2,0.006,1.000,0.378,0.727
"xapB, xapA",9.2,0.003,0.164,0.198,0.255
"ydjG, ydjH, ydjI, ydjJ, ydjK, ydjL",9.1,0.000,1.000,0.027,0.327
"lacA, lacY, lacZ",9.1,0.000,0.354,0.118,0.224
"wzxC, wcaJ, cpsG, cpsB, wcaI, gmm, fcl, gmd, wcaF, wcaE, wcaD, wcaC",9.0,0.000,1.000,0.008,0.243
"yffM, yffN",9.0,0.005,1.000,0.469,0.675
"ydiQ, ydiR, ydiS, ydiT, fadK",8.9,0.000,1.000,0.108,0.335
"nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG",8.7,0.000,1.000,0.034,0.325
"pbpC, yfhM",8.7,0.016,1.000,0.441,0.720
"narV, narW, narY, narZ, narU",8.5,0.000,0.777,0.130,0.307
"ydaF, ydaG",8.4,0.001,1.000,0.396,0.654
"wcaB, wcaA, wzc, wzb, wza",8.2,0.000,1.000,0.055,0.289
"yihO, yihP",8.2,0.000,1.000,0.372,0.548
"fryA, ypdE, ypdF, fryC, fryB",8.1,0.000,1.000,0.102,0.354
"araD, araA, araB",7.9,0.000,1.000,0.064,0.328
"xdhA, xdhB, xdhC",7.8,0.000,1.000,0.542,0.778
"hyaA, hyaB, hyaC, hyaD, hyaE, hyaF",7.8,0.000,1.000,0.055,0.274
"rutG, rutF, rutE, rutD, rutC, rutB, rutA",7.8,0.000,1.000,0.009,0.235
"ygcQ, ygcR",7.6,0.011,1.000,0.407,0.612
"ubiU, ubiV",7.5,0.004,1.000,0.477,0.889
"yiaK, yiaL, yiaM, yiaN, yiaO, lyxK, sgbH, sgbU, sgbE",7.4,0.000,1.000,0.004,0.170
"ynbA, ynbB, ynbC, ynbD",7.4,0.000,1.000,0.000,0.350
"mdlA, mdlB",7.3,0.026,1.000,0.575,0.758
"yfdK, yfdM, yfdN, yfdO",7.3,0.000,1.000,0.000,0.444
"yidJ, yidK",7.2,0.011,1.000,0.231,0.623
"fumB, dcuB",7.2,0.004,0.809,0.210,0.458
"ycjM, ycjN, ycjO, ycjP, ycjQ, ycjR, ycjS, ycjT, ycjU, ompG",6.8,0.000,1.000,0.001,0.131
"ttdA, ttdB, ttdT",6.8,0.000,1.000,0.217,0.457
"xylB, xylA",6.7,0.021,1.000,0.362,0.516
"ygfK, ssnA",6.7,0.014,1.000,0.328,0.455
"frvR, frvX, frvB, frvA",6.6,0.000,1.000,0.073,0.367
"agaS, kbaY, agaB, agaC, agaD, agaI",6.6,0.000,1.000,0.018,0.193
"mngA, mngB",5.9,0.001,0.016,0.078,0.127
"scpA, argK, scpB, scpC",5.9,0.000,1.000,0.131,0.274
"yphD, yphE, yphF",5.8,0.000,1.000,0.295,0.698
"fixA, fixB, fixC, fixX",5.8,0.000,1.000,0.072,0.313
"cadA, cadB",5.8,0.000,0.216,0.206,0.290
"yiaV, yiaW",5.7,0.001,1.000,0.198,0.467
"nfrA, nfrB",5.5,0.029,1.000,0.232,0.577
"citG, citX, citF, citE, citD, citC",5.5,0.000,1.000,0.006,0.102
"yahD, yahE, yahF, yahG",5.5,0.000,1.000,0.030,0.313
"rhaD, rhaA, rhaB",5.5,0.000,0.868,0.055,0.280
"yeaV, yeaW",5.4,0.000,1.000,0.275,0.475
"ybcN, ninE, ybcO, rusA, ylcG",5.3,0.000,1.000,0.014,0.267
"bcsC, bcsZ, bcsB, bcsA",5.3,0.000,1.000,0.112,0.324
"glvB, glvC",5.2,0.000,1.000,0.265,0.539
"gcl, hyi, glxR, ybbW, allB, ybbY, glxK",5.1,0.000,0.231,0.002,0.090
"mdtP, mdtO, mdtN",5.1,0.000,1.000,0.291,0.660
"dicB, ydfD",5.1,0.000,1.000,0.253,0.542
"yfdE, yfdV, oxc, frc, yfdX",4.9,0.000,0.773,0.018,0.178
"zraS, zraR",4.8,0.009,1.000,0.223,0.516
"pphC, yegL",4.7,0.021,1.000,0.337,0.501
"eutA, eutH",4.7,0.014,1.000,0.227,0.500
"ebgA, ebgC",4.6,0.016,1.000,0.195,0.552
"htrE, yadV",4.5,0.001,1.000,0.189,0.515
"yehL, yehM, yehP, yehQ",4.4,0.000,1.000,0.030,0.203
"ybeR, djlB",4.4,0.000,1.000,0.308,0.518
"uidC, uidB, uidA",4.4,0.000,1.000,0.039,0.244
"ydeR, ydeS, ydeT",4.4,0.000,1.000,0.095,0.327
"frwC, frwB",4.2,0.000,1.000,0.282,0.755
"ygjJ, ygjK",4.2,0.020,1.000,0.226,0.486
"fdrA, ylbE, ylbF, ybcF",4.2,0.000,1.000,0.037,0.348
"prpB, prpC, prpD, prpE",3.9,0.000,1.000,0.010,0.197
"emrY, emrK",3.8,0.000,1.000,0.370,0.802
"yjfK, yjfL, yjfM, yjfC",3.8,0.000,1.000,0.029,0.203
"fdnG, fdnH, fdnI",3.7,0.000,1.000,0.018,0.125
"acrE, acrF",3.7,0.013,1.000,0.151,0.254
"eutG, eutJ, eutE, eutN",3.5,0.000,1.000,0.023,0.194
"ynfO, ydfO",3.1,0.006,1.000,0.187,0.365
"psuG, psuK",3.1,0.000,1.000,0.180,0.401
"sfmH, sfmF",2.7,0.000,1.000,0.118,0.287
"sfmC, sfmD",2.6,0.000,1.000,0.115,0.335
"yhaB, yhaC",2.1,0.000,1.000,0.132,0.377
"yehA, yehB, yehC, yehD",2.0,0.000,1.000,0.002,0.190
"yddK, yddL",0.2,0.001,1.000,0.037,0.187
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
