Gene,RNA ID,Monomer ID,Process,Essentiality
gntK,EG12629_RNA,GLUCONOKINII-MONOMER,Metabolism,0
gntP,EG12563_RNA,GNTP-MONOMER,Metabolism,0
gor,EG10412_RNA,GLUTATHIONE-REDUCT-NADPH-MONOMER,Metabolism,0
gpmA,EG11699_RNA,GPMA-MONOMER,Metabolism,0
gpmM,EG12296_RNA,PGMI-MONOMER,Metabolism,0
gpp,EG10413_RNA,PPPGPPHYDRO-MONOMER,Metabolism,0
gpsA,EG20091_RNA,GLYC3PDEHYDROGBIOSYN-MONOMER,Metabolism,1
gpt,EG10414_RNA,GPT-MONOMER,Metabolism,0
gshA,EG10418_RNA,GLUTCYSLIG-MONOMER,Metabolism,0
gshB,EG10419_RNA,GLUTATHIONE-SYN-MONOMER,Metabolism,0
gsiA,G6429_RNA,YLIA-MONOMER,Metabolism,0
gsiB,G6430_RNA,YLIB-MONOMER,Metabolism,0
gsiC,G6431_RNA,YLIC-MONOMER,Metabolism,0
gsiD,G6432_RNA,YLID-MONOMER,Metabolism,0
gsk,EG11102_RNA,GSK-MONOMER,Metabolism,0
gss,EG12882_RNA,GSP-MONOMER,Metabolism,0
guaA,EG10420_RNA,GMP-SYN-MONOMER,Metabolism,1
guaB,EG10421_RNA,IMP-DEHYDROG-MONOMER,Metabolism,0
guaC,EG10422_RNA,GMP-REDUCT-MONOMER,Metabolism,0
guaD,G7502_RNA,G7502-MONOMER,Metabolism,0
gutQ,EG10973_RNA,EG10973-MONOMER,Metabolism,0
hchA,G7055_RNA,G7055-MONOMER,Metabolism,0
hdhA,EG10425_RNA,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,Metabolism,0
hemA,EG10427_RNA,GLUTRNAREDUCT-MONOMER,Metabolism,0
hemB,EG10428_RNA,PORPHOBILSYNTH-MONOMER,Metabolism,0
hemC,EG10429_RNA,OHMETHYLBILANESYN-MONOMER,Metabolism,0
hemD,EG10430_RNA,UROGENIIISYN-MONOMER,Metabolism,0
hemE,EG11543_RNA,UROGENDECARBOX-MONOMER,Metabolism,0
hemF,EG12189_RNA,COPROGENOXI-MONOMER,Metabolism,0
hemG,EG11485_RNA,PROTOPORGENOXI-MONOMER,Metabolism,0
hemL,EG10432_RNA,GSAAMINOTRANS-MONOMER,Metabolism,0
hemN,EG11836_RNA,HEMN-MONOMER,Metabolism,0
hisA,EG10444_RNA,PRIBFAICARPISOM-MONOMER,Metabolism,1
hisB,EG10445_RNA,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER,Metabolism,1
hisC,EG10446_RNA,HISTPHOSTRANS-MONOMER,Metabolism,1
hisD,EG10447_RNA,HISTDEHYD-MONOMER,Metabolism,1
hisF,EG10448_RNA,CYCLASE-MONOMER,Metabolism,1
hisG,EG10449_RNA,ATPPHOSRIBOSTRANS-MONOMER,Metabolism,1
hisH,EG10450_RNA,GLUTAMIDOTRANS-MONOMER,Metabolism,1
hisI,EG10451_RNA,HISTCYCLOPRATPPHOS,Metabolism,1
hisJ,EG12124_RNA,HISJ-MONOMER,Metabolism,0
hisM,EG10007_RNA,HISM-MONOMER,Metabolism,0
hisP,EG10452_RNA,HISP-MONOMER,Metabolism,0
hisQ,EG12125_RNA,HISQ-MONOMER,Metabolism,0
hisS,EG10453_RNA,HISS-MONOMER,Metabolism,1
hns,EG10457_RNA,PD00288,Transcription Regulation,0
hpt,EG20098_RNA,HYPOXANPRIBOSYLTRAN-MONOMER,Metabolism,0
hycB,EG10475_RNA,HYCBSMALL-MONOMER,Metabolism,0
hycC,EG10476_RNA,HYCC-MONOMER,Metabolism,0
hycD,EG10477_RNA,HYCD-MONOMER,Metabolism,0
hycE,EG10478_RNA,HYCELARGE-MONOMER,Metabolism,0
hycF,EG10479_RNA,HYCF-MONOMER,Metabolism,0
hycG,EG10480_RNA,HYCG-MONOMER,Metabolism,0
hyi,G6277_RNA,G6277-MONOMER,Metabolism,0
hypF,EG11551_RNA,EG11551-MONOMER,Metabolism,0
icd,EG10489_RNA,ISOCITDEH-SUBUNIT,Metabolism,0
idi,G7508_RNA,IPPISOM-MONOMER,Metabolism,0
idnD,G7893_RNA,IDONDEHYD-MONOMER,Metabolism,0
idnK,EG12152_RNA,GLUCONOKINI-MONOMER,Metabolism,0
idnO,G7892_RNA,GLUCONREDUCT-MONOMER,Metabolism,0
ihfA,EG10440_RNA,PD00347,Transcription Regulation,0
ihfB,EG10441_RNA,PD00348,Transcription Regulation,0
ileS,EG10492_RNA,ILES-MONOMER,Metabolism,1
ilvA,EG10493_RNA,THREDEHYDSYN-MONOMER,Metabolism,0
ilvB,EG10494_RNA,LARGEILVB-MONOMER,Metabolism,0
ilvC,EG10495_RNA,KETOLREDUCTOISOM-MONOMER,Metabolism,1
ilvD,EG10496_RNA,DIHYDROXYACIDDEHYDRAT-MONOMER,Metabolism,1
ilvE,EG10497_RNA,BRANCHED-CHAINAMINOTRANSFER-MONOMER,Metabolism,1
ilvG_1,G8221_RNA,G8221-MONOMER,Metabolism,0
ilvG_2,EG10498_RNA,LARGEILVG-MONOMER,Metabolism,0
ilvH,EG10499_RNA,ACETOLACTSYNIII-HCHAIN-MONOMER,Metabolism,0
ilvI,EG10500_RNA,ACETOLACTSYNIII-ICHAIN-MONOMER,Metabolism,0
ilvM,EG10501_RNA,SMALLILVM-MONOMER,Metabolism,0
ilvN,EG10502_RNA,SMALLILVN-MONOMER,Metabolism,0
iscS,G7325_RNA,G7325-MONOMER,Metabolism,0
ispA,EG10508_RNA,FPPSYN-MONOMER,Metabolism,0
ispB,EG10017_RNA,OPPSYN-MONOMER,Metabolism,0
ispD,G7423_RNA,G7423-MONOMER,Metabolism,0
ispE,EG11294_RNA,EG11294-MONOMER,Metabolism,0
ispF,EG11816_RNA,EG11816-MONOMER,Metabolism,0
ispG,EG10370_RNA,EG10370-MONOMER,Metabolism,0
ispH,EG11081_RNA,EG11081-MONOMER,Metabolism,0
ispU,G6092_RNA,UPPSYN-MONOMER,Metabolism,0
katE,EG10509_RNA,HYDROPEROXIDII-MONOMER,Metabolism,0
katG,EG10511_RNA,HYDROPEROXIDI-MONOMER,Metabolism,0
kbaY,EG12768_RNA,TAGAALDOL1-MONOMER,Metabolism,0
kbaZ,G7631_RNA,G7631-MONOMER,Metabolism,0
kbl,EG10512_RNA,AKBLIG-MONOMER,Metabolism,0
kch,EG11606_RNA,KCH-MONOMER,Metabolism,0
kdgK,EG12253_RNA,DEOXYGLUCONOKIN-MONOMER,Metabolism,0
kdpA,EG10513_RNA,EG10513-MONOMER,Metabolism,0
kdpB,EG10514_RNA,KDPB-MONOMER,Metabolism,0
kdpC,EG10515_RNA,EG10515-MONOMER,Metabolism,0
kdpF,G0-10439_RNA,MONOMER0-12,Metabolism,0
kdsA,EG10518_RNA,KDO-8PSYNTH-MONOMER,Metabolism,0
kdsB,EG10519_RNA,CPM-KDOSYNTH-MONOMER,Metabolism,0
kdsC,G7663_RNA,G7663-MONOMER,Metabolism,0
kdsD,G7662_RNA,G7662-MONOMER,Metabolism,0
kduD,EG12361_RNA,KDUD-MONOMER,Metabolism,0
kefB,EG20110_RNA,KEFB-MONOMER,Metabolism,0
kefC,EG10521_RNA,KEFC-MONOMER,Metabolism,0
kefF,EG11568_RNA,EG11568-MONOMER,Metabolism,0
kup,EG11541_RNA,KUP-MONOMER,Metabolism,0
lacA,EG10524_RNA,GALACTOACETYLTRAN-MONOMER,Metabolism,0
lacY,EG10526_RNA,LACY-MONOMER,Metabolism,0
lacZ,EG10527_RNA,BETAGALACTOSID-MONOMER,Metabolism,0
ldcC,G6094_RNA,LDC2-MONOMER,Metabolism,0
ldhA,G592_RNA,DLACTDEHYDROGNAD-MONOMER,Metabolism,0
leuA,EG11226_RNA,2-ISOPROPYLMALATESYN-MONOMER,Metabolism,1
leuB,EG11577_RNA,3-ISOPROPYLMALDEHYDROG-MONOMER,Metabolism,0
leuC,EG11576_RNA,LEUC-MONOMER,Metabolism,1
leuD,EG11575_RNA,LEUD-MONOMER,Metabolism,1
leuE,G6984_RNA,G6984-MONOMER,Metabolism,0
leuO,EG10531_RNA,PD00519,Transcription Regulation,0
leuS,EG10532_RNA,LEUS-MONOMER,Metabolism,1
lexA,EG10533_RNA,PD00205,Transcription Regulation,0
lhgO,EG12387_RNA,EG12387-MONOMER,Metabolism,0
lipA,EG11306_RNA,EG11306-MONOMER,Metabolism,0
lipB,EG11591_RNA,EG11591-MONOMER,Metabolism,0
livF,EG10536_RNA,LIVF-MONOMER,Metabolism,0
livG,EG10537_RNA,LIVG-MONOMER,Metabolism,0
livH,EG10538_RNA,LIVH-MONOMER,Metabolism,0
livJ,EG10539_RNA,LIVJ-MONOMER,Metabolism,0
livK,EG10540_RNA,LIVK-MONOMER,Metabolism,0
livM,EG10541_RNA,LIVM-MONOMER,Metabolism,0
lldD,EG11963_RNA,L-LACTDEHYDROGFMN-MONOMER,Metabolism,0
lldP,EG11961_RNA,LCTP-MONOMER,Metabolism,0
lpcA,G6106_RNA,G6106-MONOMER,Metabolism,0
lpd,EG10543_RNA,E3-MONOMER,Metabolism,0
lplA,EG11796_RNA,EG11796-MONOMER,Metabolism,0
lptA,G7665_RNA,YHBN-MONOMER,Metabolism,0
lptB,EG11680_RNA,YHBG-MONOMER,Metabolism,0
lptC,G7664_RNA,G7664-MONOMER,Metabolism,0
lptD,EG11569_RNA,EG11569-MONOMER,Metabolism,0
lptE,EG10855_RNA,EG10855-MONOMER,Metabolism,0
lptF,G7888_RNA,G7888-MONOMER,Metabolism,0
lptG,G7889_RNA,G7889-MONOMER,Metabolism,0
lpxA,EG10545_RNA,UDPNACETYLGLUCOSAMACYLTRANS-MONOMER,Metabolism,0
lpxB,EG10546_RNA,LIPIDADISACCHARIDESYNTH-MONOMER,Metabolism,0
lpxC,EG10265_RNA,UDPACYLGLCNACDEACETYL-MONOMER,Metabolism,0
lpxD,EG10316_RNA,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO,Metabolism,0
lpxH,EG12666_RNA,EG12666-MONOMER,Metabolism,0
lpxK,EG11409_RNA,TETRAACYLDISACC4KIN-MONOMER,Metabolism,0
lpxL,EG10464_RNA,LAUROYLACYLTRAN-MONOMER,Metabolism,0
lpxM,EG10614_RNA,MYRISTOYLACYLTRAN-MONOMER,Metabolism,0
lpxP,G7241_RNA,PALMITOTRANS-MONOMER,Metabolism,0
lpxT,G7146_RNA,G7146-MONOMER,Metabolism,0
lrhA,EG12123_RNA,EG12123-MONOMER,Transcription Regulation,0
lrp,EG10547_RNA,PD00353,Transcription Regulation,0
lsrA,G6800_RNA,YDEX-MONOMER,Metabolism,0
lsrB,G6803_RNA,YNEA-MONOMER,Metabolism,0
lsrC,G6801_RNA,YDEY-MONOMER,Metabolism,0
lsrD,G6802_RNA,YDEZ-MONOMER,Metabolism,0
lsrF,G6804_RNA,G6804-MONOMER,Metabolism,0
lsrG,G6805_RNA,G6805-MONOMER,Metabolism,0
lsrK,G6798_RNA,G6798-MONOMER,Metabolism,0
ltaE,G6455_RNA,LTAA-MONOMER,Metabolism,0
luxS,EG12712_RNA,EG12712-MONOMER,Metabolism,0
lysA,EG10549_RNA,DIAMINOPIMDECARB-MONOMER,Metabolism,1
lysC,EG10550_RNA,ASPKINIII-MONOMER,Metabolism,0
lysP,EG11337_RNA,LYSP-MONOMER,Metabolism,0
lysS,EG10552_RNA,LYSS-MONOMER,Metabolism,1
lysU,EG10553_RNA,LYSU-MONOMER,Metabolism,0
lyxK,EG12284_RNA,LYXK-MONOMER,Metabolism,0
maa,G58_RNA,MALTACETYLTRAN-MONOMER,Metabolism,0
maeA,EG10948_RNA,MALIC-NAD-MONOMER,Metabolism,0
maeB,G7293_RNA,MALIC-NADP-MONOMER,Metabolism,0
mak,EG11288_RNA,EG11288-MONOMER,Metabolism,0
malP,EG10560_RNA,MALDEXPHOSPHORYL-MONOMER,Metabolism,0
malQ,EG10561_RNA,AMYLOMALT-MONOMER,Metabolism,0
malY,EG10564_RNA,EG10564-MONOMER,Metabolism,0
malZ,EG10565_RNA,MALTODEXGLUCOSID-MONOMER,Metabolism,0
manA,EG10566_RNA,MANNPISOM-MONOMER,Metabolism,0
manX,EG10567_RNA,MANX-MONOMER,Metabolism,0
manY,EG10568_RNA,MANY-MONOMER,Metabolism,0
manZ,EG10569_RNA,MANZ-MONOMER,Metabolism,0
mazG,EG10572_RNA,EG10572-MONOMER,Metabolism,0
mdaB,EG12656_RNA,EG12656-MONOMER,Metabolism,0
mdfA,G6440_RNA,CMR-MONOMER,Metabolism,0
mdh,EG10576_RNA,MALATE-DEHASE-MONOMER,Metabolism,0
mdoB,EG12591_RNA,PGLYCEROLTRANSI-MONOMER,Metabolism,0
mdtI,G6857_RNA,B1599-MONOMER,Metabolism,0
mdtJ,G6858_RNA,B1600-MONOMER,Metabolism,0
mdtM,EG12576_RNA,YJIO-MONOMER,Metabolism,0
menA,EG11880_RNA,DMK-MONOMER,Metabolism,0
menB,EG11368_RNA,NAPHTHOATE-SYN-MONOMER,Metabolism,0
menC,EG11532_RNA,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,Metabolism,0
menD,EG10579_RNA,MEND-MONOMER,Metabolism,0
menE,EG12437_RNA,O-SUCCINYLBENZOATE-COA-LIG-MONOMER,Metabolism,0
menF,EG12362_RNA,MENF-MONOMER,Metabolism,0
menH,EG12438_RNA,EG12438-MONOMER,Metabolism,0
menI,G6912_RNA,G6912-MONOMER,Metabolism,0
metA,EG10581_RNA,HOMSUCTRAN-MONOMER,Metabolism,1
metB,EG10582_RNA,O-SUCCHOMOSERLYASE-MONOMER,Metabolism,1
metC,EG10583_RNA,CYSTATHIONINE-BETA-LYASE-MONOMER,Metabolism,0
metE,EG10584_RNA,HOMOCYSMET-MONOMER,Metabolism,0
metF,EG10585_RNA,METHYLENETHFREDUCT-MONOMER,Metabolism,1
metG,EG10586_RNA,METG-MONOMER,Metabolism,1
metH,EG10587_RNA,HOMOCYSMETB12-MONOMER,Metabolism,0
metI,EG11737_RNA,METI-MONOMER,Metabolism,0
metJ,EG10588_RNA,PD04032,Transcription Regulation,0
metK,EG10589_RNA,S-ADENMETSYN-MONOMER,Metabolism,0
metL,EG10590_RNA,ASPKINIIHOMOSERDEHYDROGII-MONOMER,Metabolism,0
metN,EG11621_RNA,ABC-MONOMER,Metabolism,0
metQ,EG11504_RNA,METQ-MONOMER,Metabolism,0
mgsA,G6497_RNA,METHGLYSYN-MONOMER,Metabolism,0
mgtA,EG12525_RNA,MGTA-MONOMER,Metabolism,0
mhpD,M013_RNA,MHPDHYDROL-MONOMER,Metabolism,0
mhpE,G6205_RNA,MHPELY-MONOMER,Metabolism,0
mhpF,M014_RNA,MHPF-MONOMER,Metabolism,0
miaA,EG10595_RNA,EG10595-MONOMER,Metabolism,0
miaB,G6364_RNA,G6364-MONOMER,Metabolism,0
mltA,G7457_RNA,G7457-MONOMER,Metabolism,0
mltB,G7410_RNA,G7410-MONOMER,Metabolism,0
mltC,G7533_RNA,G7533-MONOMER,Metabolism,0
mltF,EG11373_RNA,EG11373-MONOMER,Metabolism,0
mmuM,G6136_RNA,MMUM-MONOMER,Metabolism,0
mnaT,G6759_RNA,G6759-MONOMER,Metabolism,0
mntH,G7254_RNA,YFEP-MONOMER,Metabolism,0
mntP,G6999_RNA,G6999-MONOMER,Metabolism,0
mpaA,G6662_RNA,G6662-MONOMER,Metabolism,0
mpl,EG12440_RNA,EG12440-MONOMER,Metabolism,0
mppA,G6665_RNA,G6665-MONOMER,Metabolism,0
mqo,EG12069_RNA,EG12069-MONOMER,Metabolism,0
mraY,EG10604_RNA,PHOSNACMURPENTATRANS-MONOMER,Metabolism,0
msbA,EG10613_RNA,EG10613-MONOMER,Metabolism,0
msrA,EG11433_RNA,EG11433-MONOMER,Metabolism,0
msrB,EG12394_RNA,EG12394-MONOMER,Metabolism,0
msrC,G7005_RNA,G7005-MONOMER,Metabolism,0
mtlD,EG10616_RNA,MANNPDEHYDROG-MONOMER,Metabolism,0
mtn,EG11090_RNA,EG11090-MONOMER,Metabolism,0
mtr,EG10617_RNA,MTR-MONOMER,Metabolism,0
murA,EG11358_RNA,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,Metabolism,0
murB,EG11205_RNA,UDPNACETYLMURAMATEDEHYDROG-MONOMER,Metabolism,0
murC,EG10619_RNA,UDP-NACMUR-ALA-LIG-MONOMER,Metabolism,0
murD,EG10620_RNA,UDP-NACMURALA-GLU-LIG-MONOMER,Metabolism,0
murE,EG10621_RNA,UDP-NACMURALGLDAPLIG-MONOMER,Metabolism,0
murF,EG10622_RNA,UDP-NACMURALGLDAPAALIG-MONOMER,Metabolism,0
murG,EG10623_RNA,NACGLCTRANS-MONOMER,Metabolism,0
murI,EG11204_RNA,GLUTRACE-MONOMER,Metabolism,0
murJ,G6561_RNA,G6561-MONOMER,Metabolism,0
murQ,G7263_RNA,G7263-MONOMER,Metabolism,0
nadA,EG10630_RNA,QUINOLINATE-SYNTHA-MONOMER,Metabolism,0
nadB,EG10631_RNA,L-ASPARTATE-OXID-MONOMER,Metabolism,0
nadC,EG11546_RNA,QUINOPRIBOTRANS-MONOMER,Metabolism,0
nadD,G6350_RNA,NICONUCADENYLYLTRAN-MONOMER,Metabolism,0
nadE,EG10663_RNA,NAD-SYNTH-MONOMER,Metabolism,0
nadK,EG12192_RNA,MONOMER0-541,Metabolism,0
nadR,EG11335_RNA,PD04413,Metabolism,0
nagA,EG10632_RNA,NAG6PDEACET-MONOMER,Metabolism,0
nagD,EG10634_RNA,EG10634-MONOMER,Metabolism,0
nagK,G6576_RNA,G6576-MONOMER,Metabolism,0
nanA,EG10637_RNA,ACNEULY-MONOMER,Metabolism,0
nanC,G7921_RNA,G7921-MONOMER,Metabolism,0
nanE,G7677_RNA,NANE-MONOMER,Metabolism,0
nanK,G7676_RNA,NANK-MONOMER,Metabolism,0
nanM,G7920_RNA,G7920-MONOMER,Metabolism,0
nanT,G436_RNA,NANT-MONOMER,Metabolism,0
narK,EG10642_RNA,NARK-MONOMER,Metabolism,0
narL,EG10643_RNA,NARL-MONOMER,Transcription Regulation,0
ndh,EG10649_RNA,NADH-DHII-MONOMER,Metabolism,0
ndk,EG10650_RNA,NUCLEOSIDE-DIP-KIN-MONOMER,Metabolism,1
nepI,EG11689_RNA,YICM-MONOMER,Metabolism,0
nhaA,EG10652_RNA,NHAA-MONOMER,Metabolism,0
nhaB,EG11392_RNA,NHAB-MONOMER,Metabolism,0
nhoA,G6770_RNA,G6770-MONOMER,Metabolism,0
nikA,EG12075_RNA,NIKA-MONOMER,Metabolism,0
nikB,EG12076_RNA,NIKB-MONOMER,Metabolism,0
nikC,EG12077_RNA,NIKC-MONOMER,Metabolism,0
nikD,EG12078_RNA,NIKD-MONOMER,Metabolism,0
nikE,EG12079_RNA,NIKE-MONOMER,Metabolism,0
nirB,EG10653_RNA,NIRB-MONOMER,Metabolism,0
nirC,EG10654_RNA,NIRC-MONOMER,Metabolism,0
nirD,EG10655_RNA,NIRD-MONOMER,Metabolism,0
nrdA,EG10660_RNA,NRDA-MONOMER,Metabolism,0
nrdB,EG10661_RNA,NRDB-MONOMER,Metabolism,0
nrdD,EG11417_RNA,RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER,Metabolism,0
nrdE,EG20257_RNA,NRDE-MONOMER,Metabolism,0
nrdF,EG12381_RNA,NRDF-MONOMER,Metabolism,0
nrdG,G812_RNA,RNTRACTIV-MONOMER,Metabolism,0
nudB,EG11138_RNA,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,Metabolism,0
nudF,EG12633_RNA,EG12633-MONOMER,Metabolism,0
nudI,G7164_RNA,G7164-MONOMER,Metabolism,0
nudJ,G6580_RNA,G6580-MONOMER,Metabolism,0
nudK,EG12410_RNA,EG12410-MONOMER,Metabolism,0
nudL,EG12693_RNA,EG12693-MONOMER,Metabolism,0
nuoA,EG12082_RNA,NUOA-MONOMER,Metabolism,0
nuoB,EG12083_RNA,NUOB-MONOMER,Metabolism,0
nuoC,EG12084_RNA,NUOC-MONOMER,Metabolism,0
nuoE,EG12086_RNA,NUOE-MONOMER,Metabolism,0
nuoF,EG11774_RNA,NUOF-MONOMER,Metabolism,0
nuoG,EG12087_RNA,NUOG-MONOMER,Metabolism,0
nuoH,EG12088_RNA,NUOH-MONOMER,Metabolism,0
nuoI,EG12089_RNA,NUOI-MONOMER,Metabolism,0
nuoJ,EG12090_RNA,NUOJ-MONOMER,Metabolism,0
nuoK,EG12091_RNA,NUOK-MONOMER,Metabolism,0
nuoL,EG12092_RNA,NUOL-MONOMER,Metabolism,0
nuoM,EG11773_RNA,NUOM-MONOMER,Metabolism,0
nuoN,EG12093_RNA,NUON-MONOMER,Metabolism,0
nupC,EG11971_RNA,NUPC-MONOMER,Metabolism,0
nupG,EG10664_RNA,NUPG-MONOMER,Metabolism,0
ompC,EG10670_RNA,EG10670-MONOMER,Metabolism,0
ompF,EG10671_RNA,EG10671-MONOMER,Metabolism,0
oppA,EG10674_RNA,OPPA-MONOMER,Metabolism,0
oppB,EG10675_RNA,OPPB-MONOMER,Metabolism,0
oppC,EG10676_RNA,OPPC-MONOMER,Metabolism,0
oppD,EG10677_RNA,OPPD-MONOMER,Metabolism,0
oppF,EG10678_RNA,OPPF-MONOMER,Metabolism,0
orn,G7842_RNA,G7842-MONOMER,RNA Decay,0
otsA,EG11751_RNA,TREHALOSE6PSYN-MONOMER,Metabolism,0
otsB,EG11752_RNA,TREHALOSEPHOSPHASYN-MONOMER,Metabolism,0
oxc,G7236_RNA,G7236-MONOMER,Metabolism,0
paaA,G6709_RNA,G6709-MONOMER,Metabolism,0
paaB,G6710_RNA,G6710-MONOMER,Metabolism,0
paaC,G6711_RNA,G6711-MONOMER,Metabolism,0
paaE,G6713_RNA,G6713-MONOMER,Metabolism,0
paaF,G6714_RNA,G6714-MONOMER,Metabolism,0
paaG,G6715_RNA,G6715-MONOMER,Metabolism,0
paaH,G6716_RNA,G6716-MONOMER,Metabolism,0
paaI,G6717_RNA,G6717-MONOMER,Metabolism,0
paaJ,G6718_RNA,G6718-MONOMER,Metabolism,0
paaK,G6719_RNA,G6719-MONOMER,Metabolism,0
paaZ,G6708_RNA,G6708-MONOMER,Metabolism,0
pabA,EG10682_RNA,PABASYN-COMPII-MONOMER,Metabolism,0
pabB,EG10683_RNA,PABASYN-COMPI-MONOMER,Metabolism,0
pabC,EG11493_RNA,ADCLY-MONOMER,Metabolism,0
panB,EG11675_RNA,3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,Metabolism,0
panC,EG11746_RNA,PANTOATE-BETA-ALANINE-LIG-MONOMER,Metabolism,0
panE,G6239_RNA,2-DEHYDROPANTOATE-REDUCT-MONOMER,Metabolism,0
patA,G7596_RNA,G7596-MONOMER,Metabolism,0
patD,G6755_RNA,G6755-MONOMER,Metabolism,0
pck,EG10688_RNA,PEPCARBOXYKIN-MONOMER,Metabolism,0
pdxA,EG10691_RNA,PDXA-MONOMER,Metabolism,0
pdxH,EG11487_RNA,PDXH-MONOMER,Metabolism,0
pdxJ,EG10693_RNA,PDXJ-MONOMER,Metabolism,0
pdxK,G7259_RNA,PDXK-MONOMER,Metabolism,0
pdxY,G6879_RNA,PDXY-MONOMER,Metabolism,0
pepA,EG10694_RNA,EG10694-MONOMER,Metabolism,0
pepB,EG12310_RNA,EG12310-MONOMER,Metabolism,0
pepD,EG10695_RNA,EG10695-MONOMER,Metabolism,0
pepN,EG10696_RNA,EG10696-MONOMER,Metabolism,0
pfkA,EG10699_RNA,6PFK-1-MONOMER,Metabolism,0
pfkB,EG10700_RNA,6PFK-2-MONOMER,Metabolism,0
pgaB,G6530_RNA,G6530-MONOMER,Metabolism,0
pgi,EG10702_RNA,PGLUCISOM,Metabolism,0
pgk,EG10703_RNA,PGK,Metabolism,0
pgl,G6397_RNA,6PGLUCONOLACT-MONOMER,Metabolism,0
pgm,EG12144_RNA,PHOSPHOGLUCMUT-MONOMER,Metabolism,0
pgpA,EG10704_RNA,PGPPHOSPHAA-MONOMER,Metabolism,0
pgpB,EG10705_RNA,PGPPHOSPHAB-MONOMER,Metabolism,0
pgpC,EG11371_RNA,EG11371-MONOMER,Metabolism,0
pgsA,EG10706_RNA,PHOSPHAGLYPSYN-MONOMER,Metabolism,0
pheA,EG10707_RNA,CHORISMUTPREPHENDEHYDRAT-MONOMER,Metabolism,1
pheP,EG10708_RNA,PHEP-MONOMER,Metabolism,0
pheS,EG10709_RNA,PHES-MONOMER,Metabolism,1
pheT,EG10710_RNA,PHET-MONOMER,Metabolism,1
phnC,EG10713_RNA,PHNC-MONOMER,Metabolism,0
phnD,EG10714_RNA,PHND-MONOMER,Metabolism,0
phnE_1,EG11283_RNA,PHNE-MONOMER,Metabolism,0
phnN,EG10723_RNA,EG10723-MONOMER,Metabolism,0
phnO,EG10724_RNA,EG10724-MONOMER,Metabolism,0
phoA,EG10727_RNA,ALKAPHOSPHA-MONOMER,Metabolism,0
phoE,EG10729_RNA,MONOMER0-282,Metabolism,0
pitA,EG12230_RNA,PITA-MONOMER,Metabolism,0
pitB,EG12883_RNA,PITB-MONOMER,Metabolism,0
plaP,EG11896_RNA,YEEF-MONOMER,Metabolism,0
pldB,EG10739_RNA,EG10739-MONOMER,Metabolism,0
plsB,EG10740_RNA,GLYCEROL-3-P-ACYLTRANSFER-MONOMER,Metabolism,0
plsC,EG11377_RNA,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,Metabolism,0
pncA,EG11135_RNA,NICOTINAMID-MONOMER,Metabolism,0
pncB,EG10742_RNA,NICOTINATEPRIBOSYLTRANS-MONOMER,Metabolism,0
pncC,G7409_RNA,G7409-MONOMER,Metabolism,0
pnp,EG10743_RNA,EG10743-MONOMER,"Metabolism, RNA Decay",0
pntA,EG10744_RNA,PNTA-MONOMER,Metabolism,0
pntB,EG10745_RNA,PNTB-MONOMER,Metabolism,0
polA,EG10746_RNA,EG10746-MONOMER,RNA Decay,0
potA,EG10749_RNA,POTA-MONOMER,Metabolism,0
potB,EG10750_RNA,POTB-MONOMER,Metabolism,0
potC,EG10751_RNA,POTC-MONOMER,Metabolism,0
potD,EG10752_RNA,POTD-MONOMER,Metabolism,0
potE,EG10753_RNA,POTE-MONOMER,Metabolism,0
potF,EG11629_RNA,POTF-MONOMER,Metabolism,0
potG,EG11630_RNA,POTG-MONOMER,Metabolism,0
potH,EG11631_RNA,POTH-MONOMER,Metabolism,0
potI,EG11632_RNA,POTI-MONOMER,Metabolism,0
poxB,EG10754_RNA,PYRUVOXID-MONOMER,Metabolism,0
ppa,EG10755_RNA,INORGPYROPHOSPHAT-MONOMER,Metabolism,1
ppc,EG10756_RNA,PEPCARBOX-MONOMER,Metabolism,0
pphA,G7011_RNA,G7011-MONOMER,Metabolism,0
pphB,G7415_RNA,G7415-MONOMER,Metabolism,0
ppiA,EG10757_RNA,EG10757-MONOMER,Metabolism,0
ppiB,EG10758_RNA,EG10758-MONOMER,Metabolism,0
ppiC,EG12352_RNA,EG12352-MONOMER,Metabolism,0
ppk,EG11510_RNA,PPK-MONOMER,Metabolism,0
ppsA,EG10759_RNA,PEPSYNTH-MONOMER,Metabolism,0
preA,EG11289_RNA,EG11289-MONOMER,Metabolism,0
preT,G7145_RNA,G7145-MONOMER,Metabolism,0
prmC,EG12424_RNA,EG12424-MONOMER,Metabolism,0
proA,EG10767_RNA,GLUTSEMIALDEHYDROG-MONOMER,Metabolism,0
proB,EG10768_RNA,GLUTKIN-MONOMER,Metabolism,0
proC,EG10769_RNA,PYRROLINECARBREDUCT-MONOMER,Metabolism,1
proP,EG11612_RNA,PROP-MONOMER,Metabolism,0
