operon_ids,num_operons,num_tus,tu_ids
1414,1,3,TU0-14525[c];TU0-14744[c];TU0-7162[c]
1577,1,1,TU0-3123[c]
2587,1,1,EG12662_RNA[c]
2145,1,1,TU0-8726[c]
1639,1,3,TU0-42482[c];TU0-42499[c];TU00104[c]
1780,1,3,TU0-6021[c];TU00160[c];TU621[c]
1353,1,1,TU0-14366[c]
1419,1,3,TU0-14537[c];TU0-6646[c];TU00017[c]
475,1,1,TU0-13284[c]
310,1,1,TU0-13084[c]
1149,1,1,TU0-14070[c]
1768,1,1,TU0-5402[c]
1311,1,2,TU0-14305[c];TU00047[c]
1130,1,1,TU0-14049[c]
2542,1,1,EG10383_RNA[c]
1400,1,3,TU0-14503[c];TU00001[c];aceBA[c]
1670,1,1,TU0-42602[c]
1825,1,1,TU0-6630[c]
1549,1,1,TU0-198873[c]
1932,1,1,TU0-8477[c]
931,1,2,TU0-13823[c];TU0-13824[c]
1401,1,4,TU0-14506[c];TU0-14616[c];TU0-44196[c];TU0-7603[c]
100,1,3,TU0-12831[c];TU0-14340[c];TU0-14609[c]
2260,1,1,TU00012[c]
2275,1,1,TU00054[c]
1852,1,1,TU0-7341[c]
1387,1,4,TU0-14463[c];TU0-6652[c];TU0-7805[c];TU00043[c]
1418,1,2,TU0-14536[c];TU0-1962[c]
2290,1,1,TU00087[c]
354,1,1,TU0-13132[c]
1546,1,4,TU0-198747[c];TU0-42511[c];TU0-6650[c];TU00285[c]
1830,1,3,TU0-6654[c];TU0-6660[c];TU0-8474[c]
191,1,1,TU0-12942[c]
1848,1,1,TU0-7281[c]
2412,1,1,TU00351[c]
2488,1,1,TU344[c]
2330,1,1,TU00157[c]
1410,1,3,TU0-14519[c];TU0-5121[c];TU00348[c]
13,1,8,TU-8398[c];TU0-14290[c];TU0-14291[c];TU0-14292[c];TU0-198865[c];TU0-198866[c];TU0-36430[c];TU00487[c]
2045,1,1,TU0-8610[c]
2421,1,1,TU00368[c]
1703,1,1,TU0-4444[c]
1664,1,2,TU0-42569[c];TU00357[c]
705,1,1,TU0-13552[c]
1760,1,1,TU0-5162[c]
552,1,2,TU0-13373[c];TU0-42694[c]
1423,1,2,TU0-14547[c];TU0-4502[c]
1616,1,2,TU0-4161[c];TU00256[c]
1514,1,3,TU0-198697[c];TU0-45147[c];TU00222[c]
1651,1,3,TU0-42514[c];TU0-45291[c];TU00085[c]
1930,1,1,TU0-8473[c]
