label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2520.0,0,0,0.0,219,344,57.077625570776256,7,0
V1_G2,1,2,2800.0,0,0,0.0,165,385,133.33333333333331,15,0
V1_G3,1,3,2760.0,0,1,100.0,199,315,58.291457286432156,6,0
