project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used
all_media_conditions1,0,baseline,0.00022598597469948085,0.00022446494595818725,3.464704226332745e-05,0.0005984248142414763,379.9502144867157,622.7525958370181,705.9430835697949,1.6390373582978766,23471.0,1179,8
all_media_conditions1,1,with_aa,0.0003641093951592874,0.0003603807668903274,7.205682954997192e-05,0.0009372709465843654,396.84344471000725,1053.92281501363,1138.3525779502434,2.6557647078781472,15757.0,792,8
all_media_conditions1,2,acetate,0.00015286456824874353,0.00014008502734552035,5.4115773249952986e-05,0.00032337183906087105,377.2291503903324,190.0230756991702,749.3499681526005,0.5037338061031248,27223.0,1366,8
all_media_conditions1,3,succinate,0.00022898860320706447,0.00022607202027387192,3.517086361212377e-05,0.00038394654425186496,373.275484240525,472.4888497435004,729.8428388047812,1.2657912713041877,22065.0,1107,8
all_media_conditions1,4,no_oxygen,0.00016257569345144309,0.00015622755393062142,4.9664223508465036e-05,0.000438607177781749,380.02306324888934,274.88146223725937,707.825743325182,0.723328368250194,27241.0,1366,8
gene_knockout_metabolic1,1,KO: EG10003,0.00024370782615083748,0.00024296920058429407,2.7812621529155993e-05,0.00030397097321669276,380.00305291913924,676.6758735001356,747.2473355483983,1.780711676661517,21950.0,1101,8
gene_knockout_metabolic1,2,KO: EG10013,0.00022324046401402505,0.0002199392423812632,7.264108395165678e-05,0.0025383375459249414,379.99864053232704,650.051544637319,712.3507634987686,1.7106680795665061,23925.0,1200,8
gene_knockout_metabolic1,3,KO: EG10028,0.00023340842283633295,0.00023967276864960668,4.376645713468857e-05,0.00044777392607233524,379.9979822329151,543.9805509625471,795.8430156385386,1.4315353670197146,22261.0,1117,8
gene_knockout_metabolic1,4,KO: EG10030,0.00021923588644951703,0.0002145541848087127,3.7166203933727106e-05,0.0003311516463213873,380.00703558226746,570.8293154225742,757.9210403818763,1.5021545970798105,23876.0,1199,8
gene_knockout_metabolic1,5,KO: EG10032,0.00023829572454385592,0.00023995331426718503,2.892860423059741e-05,0.000314370333956416,380.0046490148935,636.9753811126684,734.1121502292956,1.6762304955056049,22420.0,1124,8
gene_knockout_metabolic1,6,KO: EG10043,0.00024000635599084996,0.00024402372561265124,3.010462943235944e-05,0.0003085410194401203,379.890541557525,657.780694425587,746.0253618955228,1.7315005836384645,22334.0,1121,8
gene_knockout_metabolic1,7,KO: EG10071,0.00010906060756908318,7.16827705092e-05,7.670840646093004e-05,0.0003667627823876872,380.01198797165364,327.7519281703471,751.0285817300603,0.8624778652898583,36218.0,1816,8
