project,variant,label,mean_growth_rate,median_growth_rate,std_growth_rate,max_growth_rate,initial_dry_mass,final_dry_mass,max_dry_mass,fold_change_mass,duration_sec,n_timepoints,generations_used
gene_ko_441imported_2seeds,1,KO: EG10109,0.00018908481089878847,0.0001893395201217812,8.074043483572219e-05,0.0003125370355327508,266.9828490349621,521.9248097262996,781.7740043256135,1.9549001428850292,25888.0,69,8
gene_ko_441imported_2seeds,2,KO: EG10894,0.0001518085722730149,0.00016072221330481071,6.54836188196566e-05,0.00025584462444213106,266.9493849022739,263.78134018387016,648.0576517449961,0.9881324142418851,20360.0,55,8
gene_ko_441imported_2seeds,3,KO: EG11288,0.00019184167321049426,0.00020959363007537775,7.539735589066634e-05,0.00029883782108710227,266.9764925372041,600.3065439560019,712.2614533804967,2.24853708373724,25900.0,69,8
gene_ko_441imported_2seeds,4,KO: EG10539,0.00019284588208642452,0.00021004752596565418,7.359540199964259e-05,0.00030567002975607913,266.97343934902676,580.7459180453943,716.7494848942717,2.1752947389128034,25629.0,68,8
gene_ko_441imported_2seeds,5,KO: EG12087,0.00021073148130670816,0.00023635644075101187,8.325690182283135e-05,0.0002963675615530845,266.9807029965192,629.988109212962,751.3973913850457,2.3596765689135797,23472.0,63,8
gene_ko_441imported_2seeds,6,KO: EG10878,8.705939151476303e-05,6.280626353956888e-05,6.289809936024293e-05,0.0002765065507096211,266.9493849022739,323.29257473870814,627.875151157336,1.2110631940847536,24114.0,63,8
gene_ko_441imported_2seeds,7,KO: EG10891,0.000310269198712296,0.0002131244862889505,0.0003243610477909105,0.0013346695021925386,266.9493849022739,3970.540206558395,3970.540206558395,14.873756716135343,16090.0,43,8
gene_ko_441imported_2seeds,8,KO: EG10796,0.00021257076113679577,0.00024189189252160357,8.765207396661268e-05,0.0002821778249072668,266.98395458014215,336.9774033614618,766.7387681008629,1.2621635030142206,17811.0,50,8
gene_ko_441imported_2seeds,9,KO: G6561,0.00020758742204060807,0.00023361733075272787,7.982547857824133e-05,0.0002710089495040371,266.9740977189135,629.5834304895957,729.8287037394159,2.3582191526028087,23528.0,64,8
gene_ko_441imported_2seeds,10,KO: EG11050,0.00019032751662077655,0.00021561419192842952,7.290465501154314e-05,0.0002631396113733715,266.9654565893444,621.0826328269682,710.8780609518581,2.326453170240445,26148.0,70,8
gene_ko_441imported_2seeds,11,KO: EG10887,0.0002546186081488012,0.00017269847171041343,0.0002582271740389405,0.0010894003372583139,266.9493849022739,2693.7739424881966,2697.5453688491707,10.090953921749422,19938.0,54,8
gene_ko_441imported_2seeds,12,KO: EG10582,0.00018539409589791146,0.00020420483260562874,7.990312579985003e-05,0.0003011306885649385,266.9721654078893,495.6163676015308,719.3655126755755,1.8564346093695234,25571.0,68,8
gene_ko_441imported_2seeds,13,KO: EG20248,0.00019980958262824652,0.00022454494885335732,7.679539797972653e-05,0.000292873764637733,266.96009748592985,713.8874730169907,753.9506646290099,2.674135497177125,25917.0,70,8
gene_ko_441imported_2seeds,14,KO: EG12712,0.00020730831133155086,0.00023110583067616384,7.856073610569171e-05,0.00029723187510648745,266.9845889424914,649.3139723780835,728.5646921686262,2.432027911985384,24128.0,66,8
gene_ko_441imported_2seeds,15,KO: EG10420,0.00018598283212525578,0.00019812220178003326,7.235193813912152e-05,0.0002922544535218373,266.97343934902676,577.9322415828485,699.5817184037542,2.164755576405078,26648.0,70,8
gene_ko_441imported_2seeds,16,KO: EG10120,0.00020109690550122438,0.00022332994829375578,7.817688177929833e-05,0.00031062522775895636,266.9828490349621,645.008131247756,730.191976306304,2.4159159795440286,25023.0,67,8
gene_ko_441imported_2seeds,17,KO: EG11029,0.00019477839780818415,0.00020934447165536305,7.85596152136516e-05,0.0003222872719807114,266.97343934902676,637.4910063332309,822.422561439359,2.387844303491964,25751.0,68,8
gene_ko_441imported_2seeds,18,KO: EG12293,0.0001822418114389906,0.00019763482610693562,6.604733283840208e-05,0.0002689534629267913,266.9644008736259,606.1264288980155,658.88308041746,2.2704391556121384,28063.0,75,8
gene_ko_441imported_2seeds,19,KO: EG10410,9.803513339594244e-05,7.623201177235886e-05,6.29836844303927e-05,0.00026312246621071654,266.9686781212206,361.2068743623122,682.5198530478265,1.352993455652882,34478.0,91,8
gene_ko_441imported_2seeds,20,KO: EG10895,0.0001518085722730149,0.00016072221330481071,6.54836188196566e-05,0.00025584462444213106,266.9493849022739,263.78134018387016,648.0576517449961,0.9881324142418851,20360.0,55,8
gene_ko_441imported_2seeds,21,KO: EG10549,0.00019768220714700384,0.00021928596656996263,7.774414475026011e-05,0.00029435887308255595,266.97343934902676,566.0950212514945,769.5405422194542,2.1204170071443404,24916.0,68,8
gene_ko_441imported_2seeds,22,KO: EG10099,0.00021920598917046967,0.0002474995502995462,8.6340984860428e-05,0.00027965009104669877,266.97066772456697,644.8582898040131,753.431066815087,2.415464947142852,22768.0,61,8
gene_ko_441imported_2seeds,23,KO: EG10581,0.00010319321540551485,8.302296281139003e-05,7.38848624830482e-05,0.00031060660779419307,266.9681731777026,334.47403382567916,715.3589247075831,1.2528610801971607,32173.0,84,8
gene_ko_441imported_2seeds,24,KO: EG10872,0.0003343854582166693,0.00021946378968638915,0.00031136586080406147,0.0011833266201894696,266.9493849022739,3245.15324852673,3245.15324852673,12.156436508421741,14480.0,40,8
gene_ko_441imported_2seeds,25,KO: EG11575,7.54066475851612e-05,5.1602490897854665e-05,6.190929930193558e-05,0.00027807165130641355,266.9788584254484,262.71299234866774,638.614020564067,0.9840217083032743,33932.0,88,8
gene_ko_441imported_2seeds,26,KO: EG10105,0.00021920598917046967,0.0002474995502995462,8.6340984860428e-05,0.00027965009104669877,266.97066772456697,644.8582898040131,753.431066815087,2.415464947142852,22768.0,61,8
gene_ko_441imported_2seeds,27,KO: G6842,0.0001911449143728985,0.00021869833687195207,7.962503131713957e-05,0.0002929974743714135,266.96500744305945,489.47240501573174,733.7868781270797,1.8334702727664807,25104.0,68,8
gene_ko_441imported_2seeds,28,KO: EG10182,0.00019781956307077193,0.00022558766880919517,7.591908008308101e-05,0.0002728460538784284,266.98018627203624,569.7672776385336,704.2123935063212,2.1341182115214203,24720.0,67,8
gene_ko_441imported_2seeds,29,KO: EG12075,0.00020260926152999048,0.0002183945541981431,8.0156778876384e-05,0.0003252304159799846,266.98047329471797,554.7488267577212,777.9122135567238,2.0778629235005424,24372.0,67,8
gene_ko_441imported_2seeds,30,KO: EG10078,9.412001668097962e-05,7.125388716451524e-05,6.675680609492118e-05,0.0003013733373337756,266.9767240713055,327.1920700944311,711.5791247504853,1.2255453026198753,35501.0,92,8
