label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2365.0,1,5,400.0,669,1803,169.5067264573991,173,25
V1_G2,1,2,1976.0,3,2,-33.33333333333333,897,2228,148.3835005574136,306,19
V1_G3,1,3,1793.0,2,4,100.0,1124,2466,119.39501779359432,485,16
V1_G4,1,4,1982.0,1,2,100.0,1264,2293,81.40822784810126,345,25
V1_G5,1,5,1918.0,1,0,-100.0,1132,1472,30.03533568904594,114,9
V1_G6,1,6,1765.0,0,1,100.0,764,1333,74.47643979057592,0,18
V1_G7,1,7,2024.0,1,4,300.0,647,1491,130.4482225656878,814,20
V1_G8,1,8,1926.0,3,0,-100.0,724,2083,187.707182320442,0,20
