label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2360.0,5,6,20.0,1,1,0.0,136,6
V1_G2,1,2,1970.0,3,5,66.66666666666666,2,3,50.0,81,6
V1_G3,1,3,1780.0,4,8,100.0,0,2,200.0,186,5
V1_G4,1,4,1980.0,7,7,0.0,2,2,0.0,114,3
V1_G5,1,5,1910.0,5,7,40.0,1,1,0.0,89,5
V1_G6,1,6,1750.0,2,10,400.0,1,5,400.0,64,4
V1_G7,1,7,2010.0,5,9,80.0,1,5,400.0,229,6
V1_G8,1,8,1920.0,2,4,100.0,1,3,200.0,184,2
