label,variant,generation,duration_s,mRNA_initial,mRNA_final,mRNA_change_pct,protein_initial,protein_final,protein_change_pct,total_tl_initiations,total_tc_initiations
V1_G1,1,1,2360.0,0,2,200.0,83,88,6.024096385542169,0,0
V1_G2,1,2,1970.0,1,0,-100.0,47,143,204.25531914893617,0,0
V1_G3,1,3,1780.0,0,0,0.0,64,153,139.0625,0,0
V1_G4,1,4,1980.0,0,1,100.0,75,297,296.0,0,0
V1_G5,1,5,1910.0,1,0,-100.0,143,332,132.16783216783216,0,0
V1_G6,1,6,1750.0,0,0,0.0,162,215,32.71604938271605,0,0
V1_G7,1,7,2010.0,0,1,100.0,116,326,181.0344827586207,0,0
V1_G8,1,8,1920.0,0,0,0.0,163,158,-3.067484662576687,0,0
